Year|MainOustandingTaxLiab|SecondaryTaxLiab|ContestedTaxLiab|TotalTaxLiab|UncontestedTaxLiab|BudgetType|ID
2018|45106|66033|0|111139|111139|DateBudget|6270
2018|893467|1570703|0|2464170|2464170|DateBudget|6271
2018|3270186|2140529|0|5410715|5410715|DateBudget|6272
2018|60532|42538|0|103070|103070|DateBudget|6273
2018|126563|103775|0|230338|230338|DateBudget|6274
2018|115701|32660|0|148361|148361|DateBudget|6275
2018|20398|8060|0|28458|28458|DateBudget|6276
2018|5504|96523|0|102027|102027|DateBudget|6277
2018|26782|5761|0|32543|32543|DateBudget|6278
2018|126529|43054|0|169583|169583|DateBudget|6279
2018|89536|15972|0|105508|105508|DateBudget|6280
2018|68147|197248|0|265395|265395|DateBudget|6281
2018|30949|4463|0|35412|35412|DateBudget|6282
2018|41201|47549|0|88750|88750|DateBudget|6283
2018|2278813|942554|0|3221367|3221367|DateBudget|6284
2018|9919509|3637838|0|13557347|13557347|DateBudget|6285
2018|55491|20420|0|75911|75911|DateBudget|6286
2018|78151|10270|0|88421|88421|DateBudget|6287
2018|86179|50996|0|137175|137175|DateBudget|6288
2018|801202|2148188|0|2949390|2949390|DateBudget|6289
2018|758958|0|0|758958|758958|DateBudget|6290
2018|2059815|520931|0|2580746|2580746|DateBudget|6291
2018|165677|369235|0|534912|534912|DateBudget|6292
2018|256574|21949|0|278523|278523|DateBudget|6293
2018|112788|8857|0|121645|121645|DateBudget|6294
2018|2648453|787133|3416512|3435586|19074|DateBudget|6295
2018|113705|23382|0|137087|137087|DateBudget|6296
2018|65578|11002|0|76580|76580|DateBudget|6297
2018|61263|5615|0|66878|66878|DateBudget|6298
2018|35242|35072|0|70314|70314|DateBudget|6299
2018|188551|13900|0|202451|202451|DateBudget|6300
2018|24075|47150|0|71225|71225|DateBudget|6301
2018|32026|71997|0|104023|104023|DateBudget|6302
2018|65794|23724|0|89518|89518|DateBudget|6303
2018|702836|222762|0|925598|925598|DateBudget|6304
2018|90877|16462|0|107339|107339|DateBudget|6305
2018|33215|59762|0|92977|92977|DateBudget|6306
2018|131742|151126|0|282868|282868|DateBudget|6307
2018|34395|64805|0|99200|99200|DateBudget|6308
2018|64569|796|0|65365|65365|DateBudget|6309
2018|39166|27393|0|66559|66559|DateBudget|6310
2018|27512|43396|0|70908|70908|DateBudget|6311
2018|40815|17885|0|58700|58700|DateBudget|6312
2018|44312|112031|0|156343|156343|DateBudget|6313
2018|352887|107818|0|460705|460705|DateBudget|6314
2018|108323|50418|0|158741|158741|DateBudget|6315
2018|176567|187206|0|363773|363773|DateBudget|6316
2018|40132|56139|0|96271|96271|DateBudget|6317
2018|4824|126967|0|131791|131791|DateBudget|6318
2018|164267|100673|0|264940|264940|DateBudget|6319
2018|86659|29773|0|116432|116432|DateBudget|6320
2018|9512|21617|0|31129|31129|DateBudget|6321
2018|151281|24460|0|175741|175741|DateBudget|6322
2018|93731|38496|0|132227|132227|DateBudget|6323
2018|25382|8207|0|33589|33589|DateBudget|6324
2018|196540|106001|0|302541|302541|DateBudget|6325
2018|67037|58698|0|125735|125735|DateBudget|6326
2018|3222|9841|0|13063|13063|DateBudget|6327
2018|62875|57798|0|120673|120673|DateBudget|6328
2018|43538|51530|0|95068|95068|DateBudget|6329
2018|23464|56791|0|80255|80255|DateBudget|6330
2018|26431|27349|0|53780|53780|DateBudget|6331
2018|223680|36134|0|259814|259814|DateBudget|6332
2018|249943|508065|0|758008|758008|DateBudget|6333
2018|70715|46122|0|116837|116837|DateBudget|6334
2018|278354|86518|0|364872|364872|DateBudget|6335
2018|15368|102052|0|117420|117420|DateBudget|6336
2018|13145|31469|0|44614|44614|DateBudget|6337
2018|41216|5066|0|46282|46282|DateBudget|6338
2018|580616|417490|0|998106|998106|DateBudget|6339
2018|81958|210730|0|292688|292688|DateBudget|6340
2018|12563|32913|0|45476|45476|DateBudget|6341
2018|282293|70865|0|353158|353158|DateBudget|6342
2018|69089|55210|0|124299|124299|DateBudget|6343
2018|48138|70209|0|118347|118347|DateBudget|6344
2018|108718|352820|0|461538|461538|DateBudget|6345
2018|54172|133112|0|187284|187284|DateBudget|6346
2018|18411|52527|0|70938|70938|DateBudget|6347
2018|198677|148309|0|346986|346986|DateBudget|6348
2018|55223|32541|0|87764|87764|DateBudget|6349
2018|37178|98839|0|136017|136017|DateBudget|6350
2018|35049|24119|0|59168|59168|DateBudget|6351
2018|43354|47893|0|91247|91247|DateBudget|6352
2018|329650|40425|0|370075|370075|DateBudget|6353
2018|1089810|1099597|0|2189407|2189407|DateBudget|6354
2018|16314|27050|0|43364|43364|DateBudget|6355
2018|167533|29670|0|197203|197203|DateBudget|6356
2018|47892|31552|0|79444|79444|DateBudget|6357
2018|69986|72119|0|142105|142105|DateBudget|6358
2018|36003|91237|0|127240|127240|DateBudget|6359
2018|50929|38568|0|89497|89497|DateBudget|6360
2018|25785|59380|0|85165|85165|DateBudget|6361
2018|362939|545|0|363484|363484|DateBudget|6362
2018|21166|16964|0|38130|38130|DateBudget|6363
2018|66068|6190|0|72258|72258|DateBudget|6364
2018|5119|16842|0|21961|21961|DateBudget|6365
2018|13392|19814|0|33206|33206|DateBudget|6366
2018|213283|3539|0|216822|216822|DateBudget|6367
2018|13301|15363|0|28664|28664|DateBudget|6368
2018|237832|344508|0|582340|582340|DateBudget|6369
2018|86495|45050|0|131545|131545|DateBudget|6370
2018|963953|1830846|0|2794799|2794799|DateBudget|6371
2018|12382|27240|0|39622|39622|DateBudget|6372
2018|225771|168203|0|393974|393974|DateBudget|6373
2018|572803|358808|0|931611|931611|DateBudget|6374
2018|76682|11149|0|87831|87831|DateBudget|6375
2018|32202|79335|0|111537|111537|DateBudget|6376
2018|109775|76097|0|185872|185872|DateBudget|6377
2018|55297|108804|0|164101|164101|DateBudget|6378
2018|120190|32113|0|152303|152303|DateBudget|6379
2018|191457|45175|0|236632|236632|DateBudget|6380
2018|89218|88608|0|177826|177826|DateBudget|6381
2018|80254|153804|0|234058|234058|DateBudget|6382
2018|15780|15524|0|31304|31304|DateBudget|6383
2018|164706|130854|0|295560|295560|DateBudget|6384
2018|129267|195175|0|324442|324442|DateBudget|6385
2018|116017|18879|0|134896|134896|DateBudget|6386
2018|86941|93467|0|180408|180408|DateBudget|6387
2018|91755|162182|0|253937|253937|DateBudget|6388
2018|53890|63873|0|117763|117763|DateBudget|6389
2018|106946|56225|0|163171|163171|DateBudget|6390
2018|84941|17432|0|102373|102373|DateBudget|6391
2018|101143|182241|0|283384|283384|DateBudget|6392
2018|60416|82045|0|142461|142461|DateBudget|6393
2018|13835|11324|0|25159|25159|DateBudget|6394
2018|148906|3856|0|152762|152762|DateBudget|6395
2018|100493|205897|0|306390|306390|DateBudget|6396
2018|110213|226495|0|336708|336708|DateBudget|6397
2018|98289|111955|0|210244|210244|DateBudget|6398
2018|49743|63311|0|113054|113054|DateBudget|6399
2018|58940|61566|0|120506|120506|DateBudget|6400
2018|21867|15892|0|37759|37759|DateBudget|6401
2018|23840625|12915928|0|36756553|36756553|DateBudget|6402
2018|57047|142957|0|200004|200004|DateBudget|6403
2018|15956|17937|0|33893|33893|DateBudget|6404
2018|527246|2013|0|529259|529259|DateBudget|6405
2018|99077|10891|0|109968|109968|DateBudget|6406
2018|29479|15683|0|45162|45162|DateBudget|6407
