ID|TotalSales|TotalNetSales|TotalOtherIncome|OwnWorkCapitalised|ChangeInventoryProd|OtherOperatingIncome|iOOIProvisionRelease|iOOISubsidies|iOOISubsidiesExtraord|iOOIExtraordinary|TotalRevenues|Cogs|iCogsRawMaterials|iCogsMerchandise|iCogsSubdeliveries|PersonnelExpenses|SGAOtherOpExpenses|iSGABadDebtProv|iSGAExtraordinary|DepreciationAndAmortization|Ebit|Ebitda|EbitdaMargin|TradingMargin|ProductionMargin|InterestIncome|InterestExpense|NetInterestResult|FXGains|FXLosses|NetFXResult|GroupInvestResult|iSubsidiarySales|NetFinancialResult|ExtraordinaryIncome|iExtraordFixedAssetsReval|iExtraordProvRelease|ExtraordinaryExpenses|iExtraordFAWriteDowns|iExtraordProvTransfer|NetExtraordinaryResult|IncomeTaxes|NetProfitLoss|CashBankDeposits|STSecurities|OtherSTFinAssets|CashAndCashEquivalents|TradeReceivables|IntragroupReceivables|ReceivablesTaxAuthority|OtherReceivables|iOtherReceivablesOwners|TotalReceivables|RawMaterials|Merchandise|TotalInventory|PrepaidExpenses|TotalCurrentAssets|LandBuildings|PlantMachinery|FurnitureEquipment|AdvancesTangibleAssets|TangibleAssetsInProgress|TangibleFixedAssets|RightsPatents|OtherCapitalizedExpenses|IntangibleFixedAssets|OtherLTFinancialAssets|TotalFixedAssets|TotalAssets|STBankLoans|OtherSTLoansNonBank|SubtotalSTInterestBearingDebt|STAccountsPayables|STIntragroupPayables|STProvisions|AccruedExpenses|PayablesTaxAuthority|DividendsPayable|OtherSTLiabilities|TotalSTLiabilities|LTBankLoans|SHLoansGranted|CapitalizedLeaseObligations|SubtotalLTInterestBearingDebt|OtherLTLiabilities|TotalLTLiabilities|TotalLiabilities|SeniorDebt|ShareCapital|SharePremium|RevaluationReserve|OtherReserves|AccumulatedRetainedEarnings|TreasuryStock|OtherEquity|Equity|EquityRatio|BalFigCheck|NoEmployeesEop|NoEmployeesAvg|ProductivityPerEmployee|AvgEmployeeCost|CollectionPeriod|InventoryPeriod|PayablesPeriod|CurrentRatio|QuickRatio|LiquidAssetsRatio|OperatingCycle|FinancingGap|WorkingCapitalNeed|NetSeniorDebtByEbitda|InterestCover|EBITDAInterestCoverage|EstimatedInterestRate|AssetTurnover|FixedAssetTurnover|CurrentAssetTurnover|Gearing|Leverage|STFinancingRatio|WkLoansRatio|ReturnOnAssets|ReturnOnFixedAssets|ReturnOnCurrentAssets|ReturnOnEquity|CFSustTotalSales|CFSustEBITDA|CFMaintCapex|CFInterestExpense|CFIncomeTax|CFMandatoryDividends|CFFreeCashFlow|CFMultiplier|CFCashFlowValuation|CFMaxLeverageST|CFMaxLeverageLT|CFSeniorDebt|CFWkExcessDeficit|CFHeadroomAvailable|CFHeadroomST|CFHeadroomLT|CFSeniorDebtByFCF|CFHeadroomByFCF|EstimatedFreeAssets|TotalOverdueDebts|TotalOverduePayables|OverduePayables1M|OverduePayables3M|OverduePayables12M|OverdueTaxDebts|OverdueDebtsOther|iTotalOverdueReceivables|TotalOverdueReceivables|OverdueReceivablesBacklog|iOverdueReceivablesBudget|OverdueTaxReceivables|LTReceivables|UnsaleableInventory|ShareOverdueDebts|ShareOverduePayables|ShareOverdueReceivables|ShareUnsaleableInventory
1008|1,068,724|1,068,724|81,143|0|0|81,143|0|0|0|0|1,149,867|121,226|53,891|0|67,335|901,476|22,641|0|0|104,294|230|104,524|0.09|-|9|0|0|0|0|11|-11|0|0|-11|0|0|0|0|0|0|0|219|0|39,593|0|0|39,593|150,057|0|173|124|0|150,354|17,961|0|17,961|215|208,123|1,770,210|104,839|0|0|21,400|1,896,449|2,760|0|2,760|500|1,899,709|2,107,832|0|0|0|2,773|286,336|0|0|75,864|0|43,366|408,339|0|0|0|0|1,663,767|1,663,767|2,072,106|0|26,200|0|9,526|0|0|0|0|35,726|0|0|17|15|71,248|60,098|51|54|870|0.51|0.47|0.02|105|-765|-200,216|-0.38|0|0|0|1|1|5|0|0|0|0|0|0|0|0|1,068,725|104,525|31,288|1|37|0|73,199|4|292,796|-240,024|532,820|1|200,216|92,579|-240,024|332,603|3|1|1,021,527|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
1009|1,055,194|1,055,194|9,153,046|0|0|9,153,046|0|4,892,056|4,211,813|0|10,208,240|1,716,717|588,773|0|1,127,944|3,211,434|412,050|0|0|4,374,712|493,327|4,868,039|0.48|-|1|477|485,404|-484,927|14,075|3,721|10,354|0|0|-474,573|0|0|0|0|0|0|0|18,754|0|1,003,367|0|1,942|1,005,309|103,653|0|23,120,423|1,303|0|23,225,379|20,310|0|20,310|0|24,250,998|16,396,200|18,304,468|3,566,167|0|603,452|38,870,287|635,234|0|635,234|0|39,505,521|63,756,519|0|0|0|19,197|0|0|22,641|162,446|0|776,022|980,306|22,781,025|0|0|22,781,025|36,321,651|59,102,676|60,082,982|22,781,025|812,915|0|2,301,780|165,061|393,781|0|0|3,673,537|0|0|53|54|19,541|59,471|36|4|4|24.74|24.72|0.02|40|36|23,270,692|4.47|2|10|0|0|0|0|6|0|0|0|0|0|0|0|1,055,195|4,868,040|1,312,414|485,405|1,268|0|3,068,954|4|12,275,815|316,559|11,959,256|22,781,026|-23,270,692|12,765,481|316,559|12,448,922|0|4|8,112,905|0|0|0|0|0|0|0|80,455|0|80,455|0|0|0|0|0|0|0|0
1010|1,042,297|1,042,297|54,601|0|-118,395|172,996|0|166,247|0|0|1,096,898|790,809|443,289|-70|347,590|148,725|14,908|0|0|70,416|72,040|142,456|0.13|-|1|0|6,022|-6,022|0|16,788|-16,788|0|0|-22,810|0|0|0|0|0|0|0|6,942|42,288|16,363|0|0|16,363|20,803|0|134,853|0|0|155,656|144,476|15,604|160,080|0|332,099|0|384,020|451|0|0|384,471|0|0|0|0|384,471|716,570|0|1,010|1,010|155,118|0|0|0|42,492|0|33,391|232,011|0|0|0|0|0|0|232,011|1,010|200|0|0|347,937|136,422|0|0|484,559|1|0|6|6|173,716|24,788|7|74|72|1.43|0.74|0.02|81|10|100,088|-0.11|13|24|6|1|3|3|0|0|0|0|0|0|0|0|1,042,298|142,457|21,125|6,023|10,563|0|104,746|4|418,985|84,735|334,250|1,011|-100,088|518,062|84,735|433,327|-1|5|205,118|75,071|75,071|2,109|61,762|11,200|0|0|0|0|0|0|0|0|0|0|0|0|0
1011|1,039,828|1,039,828|2,194|0|0|2,194|0|0|0|0|1,042,022|247,783|101,775|0|146,008|588,849|25,193|1,346|0|78,731|101,466|180,197|0.17|-|4|3,433|0|3,433|0|0|0|0|0|3,433|0|0|0|0|0|0|0|19,041|85,858|1,271,640|0|9,875|1,281,515|46,065|0|2,680|8,193|0|56,938|2,159|0|2,159|0|1,340,612|314,053|84,007|0|0|144,144|542,204|953|0|953|1,000|544,157|1,884,769|0|0|0|8,957|0|0|0|45,151|0|33,794|87,902|0|0|0|0|28,501|28,501|116,403|0|200|0|0|638,792|1,129,374|0|0|1,768,366|1|0|22|19|54,728|30,992|16|3|13|15.25|15.23|0.68|19|6|1,252,710|-7.11|0|0|0|1|2|1|0|0|0|0|0|0|0|0|1,039,829|180,198|23,619|1|16,235|0|140,343|4|561,373|-28,805|590,178|1|-1,252,710|1,814,082|-28,805|1,842,887|-9|13|219,140|0|0|0|0|0|0|0|46,746|0|46,746|0|0|1,000|0|0|0|0|0
1012|1,011,600|1,011,600|180,513|0|0|180,513|0|0|0|0|1,192,113|146,557|98,781|0|47,776|904,015|5,589|0|0|135,218|734|135,952|0.11|-|7|1|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|735|0|40,809|0|1,094|41,903|105,636|0|20,257|558|0|126,451|84,956|0|84,956|0|253,310|9,051,287|296,230|8,943|0|0|9,356,460|14,866|0|14,866|0|9,371,326|9,624,636|0|0|0|0|37,269|0|0|51,953|0|61,116|150,338|0|0|0|0|435,208|435,208|585,546|0|9,039,953|0|900|0|-1,763|0|0|9,039,090|1|0|15|15|67,440|60,268|38|212|93|1.68|1.12|0.00|250|157|102,972|-0.31|0|0|0|0|0|4|0|0|0|0|0|0|0|0|1,011,601|135,953|40,565|1|117|0|95,269|4|381,077|49,392|331,685|1|-91,295|472,370|49,392|422,979|-1|5|4,775,120|0|0|0|0|0|0|0|0|0|0|0|0|0|11,678|0|0|0|0
1013|998,381|998,381|26,147|0|0|26,147|0|0|0|0|1,024,528|327,981|242,717|0|85,264|711,504|3,874|0|0|6,017|-24,848|-18,831|(0.02)|-|3|298|0|298|0|0|0|0|0|298|11,499|0|11,499|25,500|0|25,500|-14,001|0|-38,551|88,973|0|-1|88,972|127,443|0|1,914|10,801|0|140,158|2,867|7|2,874|768|232,772|0|82,201|0|0|0|82,201|3,647|0|3,647|0|85,848|318,620|0|0|0|29,805|0|25,500|0|31,981|0|48,212|135,498|0|0|0|0|0|0|135,498|0|185,775|0|0|35,898|-38,551|0|0|183,122|1|0|26|23|43,408|30,935|47|3|33|1.72|1.70|0.28|50|17|97,274|4.72|0|0|0|3|12|4|0|0|0|0|0|0|0|0|998,382|-18,830|1,805|1|-3,976|0|-16,660|4|-66,642|7,534|-74,176|1|-97,274|30,631|7,534|23,097|6|-2|93,180|0|0|0|0|0|0|0|68,202|0|68,202|276|0|0|0|0|0|0|0
1014|977,568|977,568|0|0|0|0|0|0|0|0|977,568|36,292|8,694|0|27,598|963,288|1,596|0|0|719|-24,327|-23,608|(0.02)|-|27|6|0|6|0|0|0|0|0|6|0|0|0|0|0|0|0|0|-24,321|1,113|0|0|1,113|58,710|0|8,961|0|0|67,671|0|0|0|0|68,784|923|0|0|0|0|923|119|0|119|0|1,042|69,826|0|0|0|7,066|0|0|0|33,353|0|39,313|79,732|0|0|0|0|0|0|79,732|0|200|0|0|14,215|-24,321|0|0|-9,906|0|0|40|36|27,155|26,758|22|0|71|0.86|0.86|0.02|22|-49|-10,948|0.05|0|0|0|14|938|14|0|0|0|0|0|-23|0|2|977,569|-23,607|216|1|-3,892|0|-19,931|4|-79,726|-12,061|-67,665|1|10,948|-90,675|-90,675|0|-1|5|26,343|5,469|3,600|3,600|0|0|0|1,869|0|0|0|0|0|0|0|0|1|0|0
1015|958,171|958,171|33,843|0|0|33,843|0|0|0|0|992,014|94,243|34,560|0|59,683|840,729|17,845|0|0|37,392|1,805|39,197|0.04|-|10|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1,805|0|18,682|0|0|18,682|41,324|0|0|377|0|41,701|297|0|297|0|60,680|281,894|74,921|36,052|0|0|392,867|480|0|480|745|394,092|454,772|0|0|0|1,477|62,505|0|0|45,874|0|40,948|150,804|0|0|0|0|303,968|303,968|454,772|0|0|0|0|0|0|0|0|0|0|0|13|13|73,705|64,671|16|1|248|0.40|0.40|0.04|17|-231|-90,124|-0.48|0|0|0|2|2|16|0|0|0|0|0|0|0|0|958,172|39,198|11,218|1|289|0|27,691|4|110,762|-108,806|219,568|1|90,124|20,637|-108,806|129,443|3|1|216,746|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
1016|946,333|904,785|-2,022|0|-2,022|0|0|0|0|0|902,763|342,063|267,285|0|74,778|307,823|6,918|0|0|49,053|196,906|245,959|0.27|-|3|0|254|-254|3,750|147,031|-143,281|0|0|-143,535|0|0|0|0|0|0|0|10,520|42,851|162,796|0|1|162,797|281,358|0|53,127|-52,973|0|281,512|140,459|27,972|168,431|2,075|614,815|335,724|31,445|7,894|0|0|375,063|0|0|0|0|375,063|989,878|0|0|0|39,757|0|0|0|75,311|0|-46,040|69,028|0|0|0|0|0|0|69,028|0|1,000|0|395,649|405,055|119,146|0|0|920,850|1|0|7|7|135,190|43,975|109|180|42|8.91|6.47|0.16|288|246|545,787|-0.66|776|968|0|1|3|2|0|0|0|0|0|0|0|0|946,334|245,960|14,716|255|31,464|0|199,525|4|798,099|283,900|514,199|1|-545,787|1,343,885|283,900|1,059,985|-3|7|392,548|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
1017|944,707|944,707|748,597|0|0|748,597|0|8,100|0|0|1,693,304|90,609|47,856|0|42,753|1,163,596|498,788|0|0|-15,690|-43,999|-59,689|(0.04)|-|10|5|0|5|0|0|0|0|0|5|0|0|0|0|0|0|0|0|-43,994|1,651|0|0|1,651|415,346|0|1,089|7,301|0|423,736|17,782|0|17,782|0|443,169|114,764|74,564|2,534|0|0|191,862|39,935|0|39,935|15,359|247,156|690,325|0|0|0|41,457|0|0|0|399,085|0|50,510|491,052|0|0|0|0|0|0|491,052|0|560,734|0|85,055|823,073|-1,269,589|0|0|199,273|0|0|47|41|23,042|28,380|160|72|167|0.90|0.87|0.00|232|65|-47,883|0.03|0|0|0|1|4|2|0|0|0|0|0|0|0|0|944,708|-59,688|-4,707|1|-7,040|0|-47,942|4|-191,769|-49,534|-142,235|1|47,883|-239,653|-239,653|0|-1|5|311,734|472,703|23,118|23,118|0|0|234,049|16,282|406,546|0|406,546|0|0|15,359|0|1|1|0|0
