ID|FirstRegistrationAge|LastRegistrationAge|TotalNoRecords|AverageNoRecords
10016|7|1|49|7
10017|6|6|9|9
10018|9|7|31|10.333333333333
10019|4|4|5|5
10020|4|1|40|10
10021|5|5|5|5
10022|9|8|11|5.5
10023|10|10|2|2
10024|5|3|26|8.6666666666667
10025|5|1|46|9.2
10026|12|13|3|
10027|12|13|1|
10028|10|8|6|2
10029|6|5|4|2
10030|5|5|9|9
10031|12|13|3|
10032|9|10|1|
10033|9|10|2|
10034|9|9|7|7
10035|4|5|3|
10036|10|9|5|2.5
10037|1|1|4|4
10038|5|3|56|18.666666666667
10039|5|5|4|4
10040|12|10|5|1.6666666666667
10041|3|2|40|20
10042|2|1|19|9.5
10043|12|13|1|
10044|4|4|7|7
10045|2|2|9|9
10046|3|4|6|
10047|6|5|24|12
10048|6|7|6|
10049|4|5|12|
10050|1|1|14|14
10051|3|4|8|
10052|1|1|11|11
10053|9|5|36|7.2
10054|12|8|4|0.8
10055|4|5|5|
10056|10|11|1|
10057|8|9|6|
10058|8|8|13|13
10059|10|11|2|
10060|4|5|7|
10061|2|3|11|
10062|6|7|6|
10063|9|9|5|5
10064|6|1|52|8.6666666666667
10065|9|9|3|3
10066|12|13|1|
10067|8|8|19|19
10068|4|5|8|
10069|3|2|13|6.5
10070|8|1|37|4.625
10071|9|9|5|5
10072|7|7|4|4
10073|5|5|21|21
10074|7|7|6|6
10075|5|6|5|
10076|3|1|23|7.6666666666667
10077|7|7|7|7
10078|9|10|1|
10079|2|1|54|27
10080|8|8|7|7
10081|4|5|7|
10082|9|8|5|2.5
10083|6|6|10|10
10084|2|3|12|
10085|6|1|66|11
10086|6|7|9|
10087|4|1|68|17
10088|6|6|9|9
10089|9|8|6|3
10090|6|7|5|
10091|9|9|3|3
10092|9|10|3|
10093|8|8|8|8
10094|5|5|7|7
10095|6|1|77|12.833333333333
10096|6|5|16|8
10097|7|7|8|8
10098|7|8|4|
10099|7|1|124|17.714285714286
10100|5|6|4|
10101|0|1|2|
10102|9|8|15|7.5
10103|6|1|55|9.1666666666667
10104|7|5|9|3
10105|5|6|6|
10106|10|10|3|3
10107|4|4|10|10
10108|4|5|12|
10109|7|7|8|8
10110|5|1|30|6
10111|9|8|6|3
10112|6|7|8|
10113|6|6|9|9
10114|8|8|9|9
10115|0|1|6|
10116|12|13|1|
10117|8|7|10|5
10118|12|9|3|0.75
10119|9|9|4|4
10120|4|5|11|
10121|6|1|337|56.166666666667
10122|9|10|1|
10123|7|7|6|6
10124|9|10|12|
10125|1|1|11|11
10126|9|7|11|3.6666666666667
10127|5|6|11|
10128|1|1|15|15
10129|6|6|9|9
10130|12|13|1|
10131|9|7|7|2.3333333333333
10132|9|10|1|
10133|8|9|13|
10134|9|8|3|1.5
10135|2|2|23|23
10136|12|11|4|2
10137|9|10|5|
10138|5|5|9|9
10139|8|7|14|7
10140|4|1|34|8.5
10141|9|10|1|
10142|3|4|1|
10143|6|7|8|
10144|9|10|1|
10145|4|2|9|3
10146|3|3|10|10
10147|10|7|12|3
10148|9|10|1|
10149|1|1|15|15
10150|6|6|6|6
10151|10|10|3|3
10152|8|8|4|4
10153|9|9|10|10
10154|12|11|3|1.5
10155|6|7|2|
10156|2|1|89|44.5
10157|12|13|3|
10158|6|7|5|
10159|3|3|13|13
10160|7|4|48|12
10161|10|10|3|3
10162|4|5|6|
10163|6|7|3|
10164|10|10|2|2
10165|8|8|5|5
10166|12|13|3|
10167|9|6|14|3.5
10168|8|2|42|6
10169|4|3|35|17.5
10170|5|5|9|9
10171|8|7|12|6
10172|9|8|6|3
10173|12|9|17|4.25
10174|7|7|9|9
10175|9|7|12|4
10176|10|10|3|3
10177|5|5|11|11
10178|7|7|3|3
10179|6|5|27|13.5
10180|4|4|8|8
10181|5|6|5|
10182|7|1|76|10.857142857143
10183|10|9|10|5
10184|1|2|12|
10185|6|7|3|
10186|5|5|13|13
10187|9|8|7|3.5
10188|8|9|8|
10189|2|1|21|10.5
10190|9|8|14|7
10191|9|3|46|6.5714285714286
10192|6|7|6|
10193|7|4|49|12.25
10194|9|8|7|3.5
10195|9|10|1|
10196|12|10|3|1
10197|4|1|16|4
10198|10|8|16|5.3333333333333
10199|9|10|1|
10200|7|7|8|8
10201|8|7|11|5.5
10202|6|6|7|7
10203|9|9|4|4
10204|5|5|4|4
10205|9|10|3|
10206|3|2|12|6
10207|4|4|5|5
10208|9|9|4|4
10209|4|4|6|6
10210|7|7|3|3
10211|10|10|3|3
10212|5|6|7|
10213|9|10|1|
10214|1|1|13|13
10215|10|10|3|3
10216|4|5|9|
10217|2|1|29|14.5
10218|8|4|33|6.6
10219|9|9|2|2
10220|2|2|14|14
10221|8|6|3|1
10222|5|5|6|6
10223|8|5|56|14
10224|6|6|8|8
10225|12|13|8|
10226|4|4|6|6
10227|1|1|10|10
10228|12|2|28|2.5454545454545
10229|8|6|22|7.3333333333333
10230|5|5|7|7
10231|6|4|5|1.6666666666667
10232|9|8|3|1.5
10233|6|7|7|
10234|1|1|13|13
10235|8|8|6|6
10236|2|2|12|12
10237|9|10|1|
10238|10|11|2|
10239|0|1|5|
10240|10|10|2|2
10241|8|8|3|3
10242|9|9|3|3
10243|9|10|4|
10244|5|6|9|
10245|1|2|9|
10246|8|9|5|
10247|1|1|10|10
10248|5|6|9|
10249|6|7|5|
10250|4|4|9|9
10251|3|3|13|13
10252|12|13|6|
10253|6|6|12|12
10254|9|10|2|
10255|6|7|7|
10256|3|3|12|12
10257|2|2|8|8
10258|6|6|5|5
10259|5|6|7|
10260|2|2|15|15
10261|2|2|29|29
10262|6|4|19|6.3333333333333
10263|7|7|5|5
10264|3|1|30|10
10265|8|8|2|2
10266|10|10|2|2
10267|5|1|94|18.8
10268|3|4|4|
10269|6|7|5|
10270|9|9|8|8
10271|3|3|11|11
10272|10|9|2|1
10273|5|5|14|14
10274|1|1|13|13
10275|1|2|9|
10276|5|6|11|
10277|2|2|18|18
10278|12|7|9|1.5
10279|4|3|25|12.5
10280|9|9|4|4
10281|5|6|5|
10282|8|8|6|6
10283|5|4|7|3.5
10284|6|6|5|5
10285|5|5|10|10
10286|5|5|10|10
10287|2|2|8|8
10288|12|13|1|
10289|7|7|8|8
10290|1|1|20|20
10291|5|6|9|
10292|5|6|6|
10293|9|7|18|6
10294|9|9|4|4
10295|10|10|2|2
10296|7|7|9|9
10297|9|9|3|3
10298|3|4|4|
10299|8|4|13|2.6
10300|8|8|8|8
10301|4|4|12|12
10302|6|2|22|4.4
10303|8|8|4|4
10304|5|5|14|14
10305|9|10|1|
10306|4|4|15|15
10307|12|1|14|1.1666666666667
10308|10|10|3|3
10309|12|5|13|1.625
10310|7|7|11|11
10311|9|8|10|5
10312|12|13|2|
10313|1|1|12|12
10314|6|5|7|3.5
10315|6|6|8|8
10316|2|3|1|
10317|10|11|2|
10318|4|4|12|12
10319|4|2|23|7.6666666666667
10320|9|10|1|
10321|6|6|7|7
10322|9|7|7|2.3333333333333
10323|5|6|7|
10324|4|4|6|6
10325|9|9|10|10
10326|7|8|2|
10327|2|2|23|23
10328|7|7|6|6
10329|10|11|1|
10330|9|9|9|9
10331|6|7|4|
10332|6|6|13|13
10333|9|9|4|4
10334|2|3|6|
10335|2|2|13|13
10336|7|7|8|8
10337|1|1|16|16
10338|4|4|9|9
10339|6|4|7|2.3333333333333
10340|1|1|33|33
10341|6|6|6|6
10342|9|9|4|4
10343|9|7|7|2.3333333333333
10344|6|4|2|0.66666666666667
10345|5|6|5|
10346|4|4|8|8
10347|9|8|2|1
10348|6|1|162|27
10349|7|4|15|3.75
10350|4|1|4|1
10351|10|9|9|4.5
10352|5|5|4|4
10353|8|9|11|
10354|10|10|4|4
10355|2|1|13|6.5
10356|7|6|6|3
10357|5|5|9|9
10358|4|2|48|16
10359|12|13|2|
10360|1|1|13|13
10361|5|5|9|9
10362|2|2|9|9
10363|4|4|6|6
10364|6|6|6|6
10365|9|10|1|
10366|12|11|2|1
10367|4|4|7|7
10368|5|5|14|14
10369|9|10|4|
10370|7|4|16|4
10371|7|4|34|8.5
10372|4|5|6|
10373|1|1|41|41
10374|10|10|3|3
10375|10|9|5|2.5
10376|10|10|3|3
10377|9|8|8|4
10378|6|5|24|12
10379|1|2|13|
10380|8|6|11|3.6666666666667
10381|1|1|62|62
10382|10|7|8|2
10383|12|13|2|
10384|2|2|18|18
10385|7|7|17|17
10386|6|6|7|7
10387|4|2|17|5.6666666666667
10388|10|9|4|2
10389|6|6|7|7
10390|5|5|6|6
10391|6|3|71|17.75
10392|1|1|12|12
10393|7|8|1|
10394|6|1|41|6.8333333333333
10395|3|3|10|10
10396|9|10|7|
10397|7|7|6|6
10398|2|2|21|21
10399|7|3|71|14.2
10400|10|1|2|0.2
10401|8|6|15|5
10402|10|11|1|
10403|4|3|7|3.5
10404|4|4|3|3
10405|8|8|3|3
10406|3|3|12|12
10407|2|2|9|9
10408|4|5|6|
10409|4|4|11|11
10410|5|5|25|25
10411|2|2|8|8
10412|12|7|15|2.5
10413|12|11|2|1
10414|3|3|11|11
10415|5|4|4|2
10416|9|8|14|7
10417|5|1|28|5.6
10418|5|5|19|19
10419|7|8|11|
10420|10|9|11|5.5
10421|5|5|11|11
10422|7|7|8|8
10423|3|1|47|15.666666666667
10424|12|13|3|
10425|2|3|11|
10426|9|9|4|4
10427|12|13|1|
10428|12|8|19|3.8
10429|3|2|7|3.5
10430|0|1|7|
10431|12|2|17|1.5454545454545
10432|6|6|19|19
10433|4|4|13|13
10434|9|9|9|9
10435|12|13|4|
10436|3|3|22|22
10437|4|5|6|
10438|7|7|6|6
10439|6|7|3|
10440|5|5|12|12
10441|12|13|1|
10442|1|1|13|13
10443|6|6|7|7
10444|0|1|12|
10445|8|8|7|7
10446|4|5|7|
10447|10|9|3|1.5
10448|1|1|51|51
10449|5|6|10|
10450|7|7|9|9
10451|9|9|5|5
10452|4|4|9|9
10453|10|10|5|5
10454|9|9|4|4
10455|0|1|8|
10456|12|13|2|
10457|12|1|5|0.41666666666667
10458|0|1|13|
10459|8|1|838|104.75
10460|2|1|13|6.5
10461|12|8|4|0.8
10462|2|1|15|7.5
10463|8|7|16|8
10464|7|7|14|14
10465|9|8|7|3.5
10466|9|10|1|
10467|9|10|1|
10468|2|3|15|
10469|4|4|7|7
10470|1|1|21|21
10471|4|1|48|12
10472|9|4|10|1.6666666666667
10473|5|3|38|12.666666666667
10474|12|13|2|
10475|5|6|1|
10476|7|4|10|2.5
10477|0|1|1|
10478|9|8|8|4
10479|4|1|102|25.5
10480|4|4|14|14
10481|9|9|11|11
10482|4|4|3|3
10483|10|11|2|
10484|8|9|3|
10485|9|9|9|9
10486|12|13|1|
10487|5|6|7|
10488|5|6|11|
10489|4|5|11|
10490|8|8|14|14
10491|0|1|1|
10492|9|9|13|13
10493|8|7|16|8
10494|5|6|9|
10495|7|7|8|8
10496|9|9|5|5
10497|4|4|9|9
10498|9|6|36|9
10499|9|4|3|0.5
10500|6|6|5|5
10501|6|7|7|
10502|10|10|7|7
10503|5|5|10|10
10504|7|7|6|6
10505|4|5|4|
10506|10|11|1|
10507|5|4|18|9
10508|6|7|8|
10509|12|13|1|
10510|5|1|96|19.2
10511|10|1|41|4.1
10512|9|10|5|
10513|8|4|32|6.4
10514|8|8|5|5
10515|6|7|7|
10516|5|1|69|13.8
10517|8|9|1|
10518|5|5|6|6
10519|5|5|6|6
10520|4|5|9|
10521|12|13|1|
10522|7|1|33|4.7142857142857
10523|9|10|1|
10524|1|1|12|12
10525|1|1|13|13
10526|10|10|2|2
10527|8|8|3|3
10528|5|5|5|5
10529|2|2|11|11
10530|10|10|2|2
10531|4|3|10|5
10532|10|8|5|1.6666666666667
10533|5|5|7|7
10534|1|1|10|10
10535|5|5|11|11
10536|5|4|11|5.5
10537|9|10|1|
10538|12|13|3|
10539|5|5|12|12
10540|5|2|11|2.75
10541|4|4|5|5
10542|7|7|3|3
10543|7|2|70|11.666666666667
10544|10|10|3|3
10545|2|1|24|12
10546|7|8|1|
10547|2|2|26|26
10548|9|5|40|8
10549|4|3|14|7
10550|3|3|11|11
10551|6|6|11|11
10552|10|10|2|2
10553|3|1|26|8.6666666666667
10554|4|4|7|7
10555|12|13|7|
10556|4|4|6|6
10557|6|6|11|11
10558|1|2|1|
10559|12|13|3|
10560|6|6|13|13
10561|9|9|7|7
10562|12|13|2|
10563|3|3|21|21
10564|6|5|17|8.5
10565|10|6|18|3.6
10566|9|7|14|4.6666666666667
10567|6|6|5|5
10568|5|5|13|13
10569|10|10|2|2
10570|9|9|6|6
10571|1|1|11|11
10572|2|3|9|
10573|8|9|7|
10574|4|3|14|7
10575|4|4|7|7
10576|12|10|3|1
10577|10|11|2|
10578|2|1|14|7
10579|2|1|26|13
10580|0|1|6|
10581|8|8|3|3
10582|7|7|5|5
10583|9|8|14|7
10584|7|7|11|11
10585|6|6|7|7
10586|3|4|7|
10587|6|6|17|17
10588|4|1|7|1.75
10589|12|13|1|
10590|1|1|8|8
10591|6|7|6|
10592|5|1|34|6.8
10593|10|4|3|0.42857142857143
10594|9|8|8|4
10595|8|2|10|1.4285714285714
10596|1|2|1|
10597|5|5|7|7
10598|12|11|2|1
10599|3|2|31|15.5
10600|4|5|9|
10601|9|10|1|
10602|7|1|32|4.5714285714286
10603|8|8|8|8
10604|6|1|19|3.1666666666667
10605|0|1|22|
10606|4|5|10|
10607|6|6|4|4
10608|3|1|12|4
10609|4|5|8|
10610|10|8|3|1
10611|12|11|3|1.5
10612|6|7|2|
10613|5|5|7|7
10614|10|10|2|2
10615|1|1|16|16
10616|4|5|5|
10617|6|1|56|9.3333333333333
10618|5|6|3|
10619|6|6|5|5
10620|4|4|9|9
10621|10|10|4|4
10622|8|8|8|8
10623|1|1|10|10
10624|4|5|8|
10625|9|8|4|2
10626|2|2|10|10
10627|9|5|27|5.4
10628|10|8|16|5.3333333333333
10629|1|1|9|9
10630|0|1|1|
10631|9|9|6|6
10632|10|9|3|1.5
10633|8|4|42|8.4
10634|5|4|10|5
10635|5|1|64|12.8
10636|4|5|17|
10637|6|4|21|7
10638|6|7|4|
10639|4|1|31|7.75
10640|6|7|7|
10641|7|7|7|7
10642|9|10|1|
10643|7|7|6|6
10644|6|1|34|5.6666666666667
10645|8|8|3|3
10646|6|4|8|2.6666666666667
10647|6|1|98|16.333333333333
10648|8|8|5|5
10649|10|10|2|2
10650|6|6|10|10
10651|9|9|4|4
10652|10|8|9|3
10653|4|4|9|9
10654|5|5|8|8
10655|9|7|24|8
10656|7|7|6|6
10657|1|2|7|
10658|2|1|25|12.5
10659|7|7|9|9
10660|5|6|5|
10661|12|13|6|
10662|7|8|4|
10663|3|2|62|31
10664|7|1|43|6.1428571428571
10665|4|3|28|14
10666|12|13|4|
10667|5|5|8|8
10668|10|8|2|0.66666666666667
10669|12|13|1|
10670|6|6|6|6
10671|3|3|10|10
10672|8|7|15|7.5
10673|6|6|3|3
10674|6|6|7|7
10675|10|11|2|
10676|4|4|10|10
10677|12|8|12|2.4
10678|9|9|8|8
10679|6|6|6|6
10680|6|7|7|
10681|4|5|8|
10682|1|1|14|14
10683|12|13|3|
10684|7|7|12|12
10685|6|6|10|10
10686|1|1|16|16
10687|10|5|30|5
10688|8|3|34|5.6666666666667
10689|9|4|19|3.1666666666667
10690|9|9|4|4
10691|6|1|60|10
10692|12|13|1|
10693|3|4|4|
10694|4|4|11|11
10695|9|9|3|3
10696|4|5|3|
10697|7|8|5|
10698|12|13|2|
10699|2|1|8|4
10700|9|7|26|8.6666666666667
10701|5|5|8|8
10702|3|3|11|11
10703|12|9|11|2.75
10704|4|3|6|3
10705|0|1|6|
10706|7|2|21|3.5
10707|1|1|13|13
10708|10|9|15|7.5
10709|9|8|18|9
10710|9|10|1|
10711|4|5|8|
10712|4|5|7|
10713|12|13|2|
10714|12|13|1|
10715|8|9|5|
10716|6|6|6|6
10717|6|6|5|5
10718|9|10|2|
10719|6|6|7|7
10720|8|8|10|10
10721|6|6|6|6
10722|1|2|10|
10723|12|13|2|
10724|10|10|3|3
10725|9|9|2|2
10726|9|7|11|3.6666666666667
10727|6|3|24|6
10728|8|9|5|
10729|8|8|8|8
10730|6|6|7|7
10731|9|9|10|10
10732|12|13|1|
10733|4|4|13|13
10734|6|6|6|6
10735|7|7|16|16
10736|4|4|8|8
10737|7|7|14|14
10738|8|8|6|6
10739|5|6|8|
10740|9|9|9|9
10741|6|6|7|7
10742|8|8|3|3
10743|6|6|4|4
10744|9|10|1|
10745|6|5|19|9.5
10746|8|8|4|4
10747|8|7|10|5
10748|10|10|7|7
10749|2|1|24|12
10750|7|7|10|10
10751|7|7|5|5
10752|2|2|11|11
10753|5|5|4|4
10754|10|10|2|2
10755|5|3|7|2.3333333333333
10756|9|10|3|
10757|2|2|13|13
10758|6|6|5|5
10759|7|7|10|10
10760|1|1|24|24
10761|4|4|8|8
10762|6|3|42|10.5
10763|8|4|16|3.2
10764|7|1|35|5
10765|4|5|10|
10766|10|10|2|2
10767|8|8|5|5
10768|5|6|8|
10769|12|13|2|
10770|5|5|7|7
10771|6|2|35|7
10772|9|10|1|
10773|6|6|5|5
10774|6|6|6|6
10775|8|7|9|4.5
10776|9|10|3|
10777|7|3|16|3.2
10778|1|1|19|19
10779|9|9|4|4
10780|6|6|6|6
10781|9|10|1|
10782|6|5|50|25
10783|12|13|4|
10784|3|3|9|9
10785|3|1|78|26
10786|5|5|14|14
10787|3|3|9|9
10788|0|1|13|
10789|6|6|4|4
10790|1|1|11|11
10791|0|1|9|
10792|3|3|9|9
10793|9|6|33|8.25
10794|3|2|52|26
10795|8|7|15|7.5
10796|5|6|6|
10797|4|2|7|2.3333333333333
10798|2|3|13|
10799|8|9|8|
10800|8|3|146|24.333333333333
10801|5|1|105|21
10802|8|8|8|8
10803|8|1|90|11.25
10804|10|9|6|3
10805|2|2|11|11
10806|4|1|83|20.75
10807|9|10|2|
10808|12|11|2|1
10809|10|11|1|
10810|4|4|13|13
10811|9|7|27|9
10812|7|7|8|8
10813|12|13|3|
10814|7|7|4|4
10815|4|2|25|8.3333333333333
10816|5|6|6|
10817|9|10|3|
10818|10|5|10|1.6666666666667
10819|9|9|4|4
10820|4|4|11|11
10821|8|9|10|
10822|8|8|7|7
10823|5|4|18|9
10824|12|13|2|
10825|4|5|8|
10826|10|8|5|1.6666666666667
10827|2|1|26|13
10828|5|5|8|8
10829|9|10|3|
10830|4|5|8|
10831|6|4|7|2.3333333333333
10832|9|8|7|3.5
10833|6|6|4|4
10834|10|9|8|4
10835|1|1|23|23
10836|8|9|5|
10837|6|7|6|
10838|9|9|7|7
10839|9|8|3|1.5
10840|8|9|6|
10841|9|8|5|2.5
10842|12|13|2|
10843|3|1|52|17.333333333333
10844|6|5|13|6.5
10845|4|5|8|
10846|4|4|7|7
10847|4|4|45|45
10848|3|3|9|9
10849|10|9|2|1
10850|6|7|5|
10851|5|6|8|
10852|9|9|4|4
10853|6|3|11|2.75
10854|4|4|10|10
10855|9|8|6|3
10856|10|9|9|4.5
10857|6|6|7|7
10858|2|2|19|19
10859|7|1|50|7.1428571428571
10860|10|9|8|4
10861|5|5|6|6
10862|12|9|9|2.25
10863|1|1|29|29
10864|8|8|17|17
10865|4|4|11|11
10866|12|13|1|
10867|7|7|6|6
10868|8|1|127|15.875
10869|8|8|7|7
10870|10|10|3|3
10871|6|6|10|10
10872|4|4|5|5
10873|2|2|14|14
10874|5|5|4|4
10875|9|10|3|
10876|9|8|18|9
10877|12|13|1|
10878|9|10|1|
10879|8|8|3|3
10880|4|5|14|
10881|3|2|11|5.5
10882|8|7|11|5.5
10883|10|11|1|
10884|9|8|4|2
10885|8|9|8|
10886|5|6|8|
10887|9|9|3|3
10888|7|6|18|9
10889|10|10|8|8
10890|7|4|35|8.75
10891|6|6|12|12
10892|7|7|15|15
10893|8|1|94|11.75
10894|7|7|8|8
10895|9|8|10|5
10896|12|8|6|1.2
10897|7|5|36|12
10898|9|8|9|4.5
10899|5|5|15|15
10900|0|1|6|
10901|7|7|5|5
10902|5|5|8|8
10903|9|9|4|4
10904|6|1|23|3.8333333333333
10905|0|1|18|
10906|12|13|3|
10907|2|2|15|15
10908|4|4|5|5
10909|2|1|13|6.5
10910|7|7|4|4
10911|5|6|8|
10912|4|2|31|10.333333333333
10913|9|7|3|1
10914|6|7|5|
10915|4|5|11|
10916|5|6|4|
10917|3|2|29|14.5
10918|5|5|6|6
10919|7|7|5|5
10920|5|5|10|10
10921|10|10|2|2
10922|10|11|2|
10923|9|9|5|5
10924|5|6|8|
10925|6|6|7|7
10926|12|13|1|
10927|2|1|18|9
10928|5|4|19|9.5
10929|12|13|2|
10930|3|1|33|11
10931|7|7|6|6
10932|10|11|1|
10933|10|9|4|2
10934|8|8|5|5
10935|6|7|6|
10936|8|1|32|4
10937|9|10|1|
10938|4|4|7|7
10939|8|8|12|12
10940|3|1|42|14
10941|9|9|6|6
10942|7|7|7|7
10943|12|13|4|
10944|6|7|7|
10945|5|6|7|
10946|8|8|9|9
10947|0|1|6|
10948|4|4|9|9
10949|1|1|11|11
10950|8|8|9|9
10951|8|8|6|6
10952|2|2|14|14
10953|10|1|28|2.8
10954|4|1|21|5.25
10955|5|5|5|5
10956|2|2|15|15
10957|2|3|1|
10958|4|4|7|7
10959|4|5|8|
10960|2|2|8|8
10961|6|6|5|5
10962|5|6|6|
10963|12|13|1|
10964|6|6|4|4
10965|12|9|13|3.25
10966|6|3|19|4.75
10967|10|10|3|3
10968|8|8|6|6
10969|3|3|9|9
10970|6|6|6|6
10971|5|4|3|1.5
10972|6|6|21|21
10973|0|1|9|
10974|3|3|11|11
10975|6|1|84|14
10976|8|8|3|3
10977|0|1|12|
10978|7|7|4|4
10979|9|8|10|5
10980|10|10|2|2
10981|10|9|4|2
10982|6|6|4|4
10983|8|8|3|3
10984|5|5|5|5
10985|3|2|21|10.5
10986|1|1|30|30
10987|9|1|34|3.7777777777778
10988|8|9|4|
10989|6|5|24|12
10990|6|7|3|
10991|7|1|43|6.1428571428571
10992|5|5|8|8
10993|0|1|1|
10994|8|8|2|2
10995|7|7|9|9
10996|6|6|10|10
10997|9|4|6|1
10998|9|9|4|4
10999|9|8|8|4
11000|5|5|9|9
11001|9|10|1|
11002|8|7|5|2.5
11003|3|3|14|14
11004|6|7|4|
11005|3|4|4|
11006|8|7|5|2.5
11007|1|1|99|99
11008|6|7|14|
11009|9|6|4|1
11010|7|7|10|10
11011|9|10|1|
11012|6|5|14|7
11013|4|5|9|
11014|12|13|1|
11015|6|6|9|9
11016|10|9|3|1.5
11017|8|8|9|9
11018|12|9|7|1.75
11019|1|1|37|37
11020|7|6|10|5
11021|7|4|11|2.75
11022|10|11|1|
11023|6|6|9|9
11024|2|1|37|18.5
11025|8|6|21|7
11026|1|1|12|12
11027|3|1|34|11.333333333333
11028|10|10|2|2
11029|5|5|5|5
11030|6|7|4|
11031|4|5|8|
11032|4|4|7|7
11033|4|4|8|8
11034|5|1|66|13.2
11035|2|3|11|
11036|5|5|4|4
11037|7|8|5|
11038|4|5|6|
11039|6|6|9|9
11040|10|9|5|2.5
11041|8|7|8|4
11042|6|6|8|8
11043|4|4|9|9
11044|8|3|9|1.5
11045|8|9|8|
11046|7|6|13|6.5
11047|3|4|1|
11048|9|8|9|4.5
11049|3|4|9|
11050|4|4|9|9
11051|12|13|1|
11052|9|9|4|4
11053|4|1|48|12
11054|4|4|15|15
11055|8|1|90|11.25
11056|1|1|19|19
11057|4|1|125|31.25
11058|5|5|14|14
11059|12|13|2|
11060|8|7|4|2
11061|4|1|54|13.5
11062|1|1|12|12
11063|3|3|15|15
11064|4|4|5|5
11065|3|3|15|15
11066|2|1|24|12
11067|5|2|24|6
11068|8|9|7|
11069|6|5|15|7.5
11070|12|13|3|
11071|10|4|3|0.42857142857143
11072|9|9|4|4
11073|5|4|24|12
11074|9|3|4|0.57142857142857
11075|0|1|10|
11076|9|9|3|3
11077|2|1|37|18.5
11078|5|6|12|
11079|6|2|3|0.6
11080|7|1|108|15.428571428571
11081|2|2|12|12
11082|8|7|17|8.5
11083|9|2|6|0.75
11084|6|6|12|12
11085|12|9|5|1.25
11086|6|6|7|7
11087|6|4|39|13
11088|7|7|6|6
11089|8|8|4|4
11090|3|2|20|10
11091|10|11|2|
11092|4|5|8|
11093|5|4|5|2.5
11094|5|5|7|7
11095|5|5|5|5
11096|5|5|8|8
11097|10|10|3|3
11098|12|13|1|
11099|9|9|2|2
11100|4|3|9|4.5
11101|4|4|6|6
11102|9|8|7|3.5
11103|4|5|8|
11104|1|1|36|36
11105|1|1|8|8
11106|7|8|10|
11107|4|5|7|
11108|3|3|16|16
11109|12|13|4|
11110|7|7|5|5
11111|9|10|1|
11112|4|4|8|8
11113|3|4|7|
11114|6|6|5|5
11115|4|4|4|4
11116|8|7|10|5
11117|5|5|11|11
11118|7|8|1|
11119|5|1|22|4.4
11120|10|10|2|2
11121|7|7|12|12
11122|7|7|8|8
11123|7|7|8|8
11124|6|6|5|5
11125|4|5|9|
11126|9|10|1|
11127|5|5|4|4
11128|10|8|3|1
11129|9|8|11|5.5
11130|1|2|1|
11131|9|8|10|5
11132|10|11|1|
11133|6|6|4|4
11134|6|6|5|5
11135|1|1|15|15
11136|12|13|1|
11137|6|7|10|
11138|6|4|4|1.3333333333333
11139|9|4|7|1.1666666666667
11140|7|4|25|6.25
11141|2|2|11|11
11142|10|8|5|1.6666666666667
11143|4|4|27|27
11144|9|2|14|1.75
11145|1|1|11|11
11146|9|2|48|6
11147|9|9|5|5
11148|2|2|16|16
11149|5|3|27|9
11150|5|2|26|6.5
11151|7|7|9|9
11152|9|10|1|
11153|10|10|2|2
11154|6|7|5|
11155|8|6|13|4.3333333333333
11156|3|1|58|19.333333333333
11157|2|1|14|7
11158|4|5|10|
11159|4|5|10|
11160|10|10|4|4
11161|7|4|22|5.5
11162|7|8|4|
11163|9|10|1|
11164|4|5|4|
11165|7|1|78|11.142857142857
11166|12|13|1|
11167|10|11|1|
11168|10|11|3|
11169|9|10|1|
11170|8|5|35|8.75
11171|9|10|5|
11172|6|7|5|
11173|9|10|4|
11174|4|5|6|
11175|1|1|13|13
11176|8|7|7|3.5
11177|10|9|5|2.5
11178|12|9|6|1.5
11179|5|4|16|8
11180|7|7|9|9
11181|5|5|7|7
11182|12|10|5|1.6666666666667
11183|8|8|4|4
11184|5|5|6|6
11185|3|1|33|11
11186|3|1|33|11
11187|12|10|8|2.6666666666667
11188|3|4|10|
11189|7|7|9|9
11190|1|2|19|
11191|10|11|1|
11192|5|6|9|
11193|7|7|17|17
11194|2|2|14|14
11195|7|7|9|9
11196|6|6|8|8
11197|4|4|7|7
11198|3|3|13|13
11199|8|8|18|18
11200|10|9|6|3
11201|7|7|6|6
11202|0|1|6|
11203|4|4|16|16
11204|7|6|22|11
11205|7|7|12|12
11206|2|1|13|6.5
11207|12|13|3|
11208|4|5|10|
11209|10|1|34|3.4
11210|1|1|15|15
11211|5|5|6|6
11212|8|9|5|
11213|9|10|3|
11214|3|1|69|23
11215|8|7|7|3.5
11216|4|4|10|10
11217|6|7|4|
11218|7|6|17|8.5
11219|5|5|7|7
11220|8|8|4|4
11221|12|10|6|2
11222|10|11|1|
11223|7|8|5|
11224|0|1|9|
11225|9|10|1|
11226|0|1|13|
11227|1|1|21|21
11228|7|4|30|7.5
11229|7|1|64|9.1428571428571
11230|0|1|6|
11231|6|6|5|5
11232|8|8|8|8
11233|4|5|6|
11234|8|4|7|1.4
11235|2|1|10|5
11236|1|1|12|12
11237|12|13|3|
11238|9|8|10|5
11239|6|6|20|20
11240|4|5|7|
11241|5|1|61|12.2
11242|12|5|36|4.5
11243|6|1|50|8.3333333333333
11244|4|1|26|6.5
11245|0|1|2|
