ID|VATStatusAge|VATStartAge|VATEndAge|VATCollectionStartAge|VATCollectionEndAge|VATCollectionUpdateAge|VATCollectionPublishAge|VATInactivationAge|VATReactivationAge|VATCancellationAge|VATSplitStartAge|VATSplitCancellationAge
278|25|16||||||||||
279|25|9|||||||9|||
280|25|14||||||||||
281||25||||||||||
282||||||||||||
283||18|5|5|5|5|5|5||||
284||25||5||6|6|||||
285||||||||||||
286||20||5||6|6|||||
287||24|8|||||0||||
288|21|12||||||||||
289||||||||||||
290||||||||||||
291||||||||||||
292||||||||||||
293|25|22||||||||||
294|25|12||||||||||
295|25|9|||||||9|||
296|25|12||||||||||
297||||||||||||
298||||||||||||
299||25||5||6|6|||||
300|24|16||||||||||
301||25||||||||||
302||||||||||||
303||||||||||||
304||||||||||||
305||||||||||||
306|17|10||||||||||
307||||||||||||
308||25|16|||||2||||
309||20||5|4|4|4|||||
310||||||||||||
311||||||||||||
312|25|16||||||||||
313|23|9|||||||9|||
314|25|16||||||||||
315||22|4|5|4|4|4|1||||
316||||||||||||
317||25|8|||||||||
318|25|16||||||||||
319||24||5||6|6|||||
320||||||||||||
321||||||||||||
322|25|22|||||||6|||
323|5|3|3|3|3|3||||||
324|21|10||||||||||
325||21||5||6|6|||||
326|25|11||||||||||
327||||||||||||
328|22|8||||||||||
329|25|12||||||||||
330|25|16||||||||||
331|25|16||||||||||
332|25|16||||||||||
333||||||||2||||
334||||||||||||
335|25|16||||||||||
336|25|9|||||||9|||
337||25|8|||||6||||
338|21|12||||||||||
339|23|14||||||||||
340||21||5|4|4|4|||||
341||23|9|||||9||||
342|25|7||||||||||
343|25|16||||||||||
344|25|6|||||||6|||
345|19|16||||||||||
346||25|16|||||||||
347|25|5||5|5|5||||||
348||||||||||||
349||||||||||||
350||||||||||||
351||||||||||||
352||||||||||||
353||||||||||||
354|25|14||||||||||
355||25|8|||||2||||
356||||||||||||
357|25|16||||||||||
358||||||||||||
359||||||||||||
360||25||5||6|6|||||
361||||||||||||
362||21|7|||||||||
363||||||||||||
364|25|8||||||||||
365|25|8||||||||||
366||25||||||||||
367||25||||||||||
368|25|16||||||||||
369||||||||||||
370||||||||||||
371|22|16||||||||||
372||||||||||||
373||||||||||||
374|25|12||||||||||
375|25|6|||||||6|||
376||25|6|||||6||||
377|25|12|||||||6|||
378|25|12||||||||||
379||||||||||||
380||||||||||||
381||25||||||||||
382||||||||||||
383|25|6||||||||||
384||||||||5||||
385|21|6|||||||6|||
386|21|12||||||||||
387|22|6|||||||6|||
388||||||||||||
389||||||||||||
390|18|9|||||||9|||
391|25|12||||||||||
392||||||||||||
393|22|12||||||||||
394|25|7||||||||||
395|25|10||||||||||
396||20|6|||||6||||
397|25|6||||||||||
398||||||||||||
399||||||||||||
400|20|5||5|5|5||||||
401||||||||||||
402|25|16||||||||||
403|25|19||||||||||
404||||||||||||
405|25|12||||||||||
406|25|4||4|4|4||||||
407||19||5||6|6|||||
408|19|9|||||||9|||
409||||||||||||
410|19|6|||||||6|||
411||||||||||||
412||||||||||||
413|25|16|||||||6|||
414|25|6|||||||6|||
415||||||||||||
416||||||||||||
417||||||||||||
418|||||||||9|||
419||||||||||||
420|25|12||||||||||
421||22|8|||||5||||
422||||||||||||
423||||||||||||
424||25||5||6|6|||||
425||25|2|5|4|4|4|0||||
426|25|16||||||||||
427|25|6||||||||||
428|24|10||||||||||
429||||||||||||
430||25|3|5|3|3|3|2||||
431||||||||||||
432|26|16||||||||||
433|||||||||9|||
434||||||||||||
435||25|6|||||5||||
436|25|9|||||||9|||
437|25|16||||||||||
438|25|16||||||||||
439||25|4|5|4|4|4|||||
440|21|12||||||||||
441||21|6|||||||||
442||||||||||||
443||23||||||||||
444|25|12||||||||||
445||25|16|||||2||||
446||25||5||6|6|||||
447|25|6||||||||||
448|24|16||||||||||
449||||||||||||
450|25|21||||||||||
451|23|7||||||||||
452||25||||||||||
453|25|16||||||||||
454||24|9|||||9||||
455||||||||||||
456|20|8||||||||||
457||||||||||||
458||||||||||||
459||25||||||||||
460||25||5||6|6|||||
461||||||||||||
462|25|6||||||||||
463||||||||||||
464|10|8||||||||||
465|25|12||||||||||
466|25|9||||||||||
467||||||||||||
468||||||||||||
469|25|12||||||||||
470||||||||||||
471|25|16||||||||||
472||||||||||||
473|||||||||2|||
474|25|16||||||||||
475||||||||||||
476||||||||||||
477|25|16||||||||||
478||25|14|||||6||||
479||||||||||||
480||||||||||||
481||||||||||||
482|6|4||4|4|4||||||
483||||||||||||
484|24|12||||||||||
485||||||||||||
486|24|12||||||||||
487|25|23||||||||||
488|25|16||||||||||
489||25||5||6|6|||||
490|26|16||||||||||
491||||||||||||
492|25|4||4|4|4||||||
493||20|8|||||8||||
494||25|6|||||6||||
495||6||5|1|2|2|||||
496||||||||||||
497||||||||||||
498|26|16||||||||||
499||||||||||||
500|25|12||||||||||
501||||||||||||
502||-1||5|4|4|4|||||
503|25|24||||||||||
504|22|16||||||||||
505|20|5||5|5|5|||4|||
506||25|9|||||9||||
507||||||||||||
508|25|6|||||||6|||
509|25|6|||||||5|||
510||||||||||||
511||||||||||||
512||25||5|4|4|4|||||
513|25|8|||||||8|||
514||24|9|||||5||||
515||||||||||||
516|25|6||||||||||
517|26|16||||||||||
518||22|1|5|1|1|1|0||||
519|19|8||||||||||
520||2||5|2|2|2|2|2|||
521||24||||||||||
522|25|7||||||||||
523|26|16||||||||||
524||25|1|5|1|1|1|||||
525||25||||||||||
526||||||||||||
527|25|8||||||||||
528||25|9|||||9||||
529|25|12||||||||||
530||||||||||||
531||||||||||||
532||24|9|||||9||||
533|25|21||||||||||
534|25|8||||||||||
535|25|12||||||||||
536||25|||||||||0|
537|25|16||||||||||
538|24|16||||||||||
539||||||||||||
540|25|16||||||||||
541|24|8||||||||||
542||16|5|5|5|5|5|3||||
543|22|12||||||||||
544||18|5|5|5|5|5|||||
545||25|||||||||0|
546||||||||||||
547||||||||||||
548|25|6|||||||6|||
549||25|6|||||||||
550||||||||||||
551||11||5||6|6|||||
552|21|16||||||||||
553||||||||||||
554|22|6||||||||||
555|25|16||||||||||
556||25||||||||||
557||||||||||||
558||||||||||||
559|24|16||||||||||
560|25|16||||||||||
561||||||||||||
562||||||||||||
563||5|3|5|3|3|3|||||
564|25|16||||||||||
565||19|6|||||6||||
566|25|12||||||||||
567||5|3|5|3|3|3|0||||
568|25|12||||||||||
569||||||||||||
570||||||||||||
571||||||||||||
572||||||||||||
573|25|9|||||||9|||
574||||||||||||
575||||||||||||
576||20|1|5|1|1|1|||||
577||||||||||||
578||25||5|4|4|4|||||
579|25|8||||||||||
580|25|8||||||6|7|||
581||25|0||||||||0|
582||19|7|||||7||||
583|24|12||||||||||
584||||||||||||
585|23|16||||||||||
586|25|12||||||||||
587||16|6|||||0||||
588|21|16||||||||||
589||25||5||6|6|||||
590|23|23||||||||||
591|21|16||||||||||
592||||||||||||
593|25|8||||||||||
594||||||||||||
595||||||||||||
596|25|16||||||||||
597|25|20||||||||||
598|25|10||||||||||
599|25|6||||||||||
600||||||||||||
601|26|16||||||||||
602||||||||||||
603||||||||||||
604||||||||||||
605|25|9||||||||||
606|25|6|||||||6|||
607||||||||||||
608|22|6|||||||6|||
609||||||||||||
610||||||||||||
611|25|12||||||||||
612|22|8|||||||8|||
613||||||||||||
614||||||||||||
615|24|12||||||||||
616||19|9|||||9||||
617||||||||6||||
618||||||||||||
619|24|6||||||||||
620||25||5||6|6|||||
621||||||||||||
622|25|12||||||||||
623|20|12||||||||||
624|25|6|||||||6|||
625|25|16||||||||||
626|25|9|||||||9|||
627|20|12||||||||||
628||||||||||||
629|25|19||||||||||
630||25|-1|5|4|4|4|||||
631||||||||||||
632|25|10||||||||||
633||||||||||||
634||||||||||||
635|24|6|||||||6|||
636|25|16||||||||||
637|25|9|||||||9|||
638|25|16||||||||||
639|17|16||||||||||
640||24|6|||||2||||
641||24|9|||||9||||
642|25|16|||||||5|||
643||||||||||||
644||||||||||||
645||||||||4||||
646|25|6||||||||||
647|25|8||||||||||
648|21|6||||||||||
649|24|16||||||||||
650||||||||||||
651||25||||||||||
652||25|8|||||0||||
653||||||||||||
654|25|16||||||||||
655||||||||||||
656||||||||||||
657||||||||||||
658|25|16||||||||||
659||||||||||||
660|25|23||||||||||
661||||||||||||
662|||||||||2|||
663||25||5||6|6|||||
664||||||||||||
665|19|6|||||||6|||
666|25|9||||||||||
667||1||5|3|3|3|2|2|||
668||25||5|1|2|2|||||
669|6|5||||||||||
670|24|16||||||||||
671|24|16||||||||||
672||||||||||||
673|25|6|||||||5|||
674|||||||||2|||
675||25||5|5|5|5|||||
676||25|6|||||3||||
677||22||5||6|6|||||
678|19|7||||||||||
679||||||||||||
680|21|12||||||||||
681||25||||||||||
682||||||||||||
683||||||||||||
684||25|6|||||5||||
685||1||5|4|4|4|1|1|||
686|||||||||2|||
687||25||5|4|4|4|||||
688|22|12||||||||||
689||5|2|5|4|4|4|1||||
690|25|12||||||||||
691|25|12||||||||||
692||||||||||||
693||25||5||6|6|||||
694||||||||||||
695||25|2|5|4|4|4|2||||
696||25||5||6|6|||||
697||||||||||||
698|24|8||||||||||
699||13|6|||||6||||
700||||||||||||
701|19|6|||||||6|||
702|||||||||2|||
703||25|16|||||||||
704||||||||||||
705|25|12||||||||||
706|25|9|||||||9|||
707|25|8||||||||||
708|25|7||||||||||
709|24|8||||||||||
710||||||||||||
711||||||||||||
712||25||5|4|4|4|||||
713||||||||||||
714|25|12||||||||||
715|25|23||||||||||
716||||||||||||
717|25|6|||||||6|||
718|24|8||||||||||
719||25|3|5|4|4|4|3||||
720||1||5|5|5|5|||||
721||||||||||||
722|26|16||||||||||
723|25|12||||||||||
724|25|12||||||||||
725|25|13||||||||||
726||||||||||||
727|25|16||||||||||
728|21|12||||||||||
729||||||||||||
730|25|5||5|5|5||||||
731|20|9||||||||||
732|25|16||||||||||
733|25|5||5|5|5||||||
734||25|6|||||4||||
735|25|12||||||||||
736||||||||||||
737|25|1|1|1|0|0||||||
738||||||||||||
739|25|11||||||||||
740|19|12||||||||||
741|21|2|2|4|4|4|||2|||
742|25|10||||||||||
743|25|16||||||||||
744|25|12||||||||||
745|25|12||||||||||
746||||||||||||
747||||||||||||
748|21|16||||||||||
749||||||||2||||
750|25|8||||||||||
751||||||||||||
752||||||||||||
753||||||||||||
754||||||||||||
755|25|9||||||||||
756|20|12||||||||||
757||25||||||||||
758||||||||||||
759||||||||||||
760||25||||||||||
761||||||||||||
762|25|12||||||||||
763||25||3||3|3|||||
764|25|12||||||||||
765||25|7|||||6||||
766||18|1|5|4|4|4|1||||
767|25|12||||||||||
768|25|12||||||||||
769||25||5||6|6|||||
770|25|12||||||||||
771||||||||||||
772|25|6||||||||||
773|25|16||||||||||
774|25|16||||||||||
775||||||||||||
776||||||||||||
777||||||||||||
778||25||5||6|6|||||
779|25|12||||||||||
780||||||||||||
781||||||||||||
782||25|-1|5|-1|-1|-1|||||
783||||||||||||
784|25|9||||||||||
785|24|16||||||||||
786||||||||||||
787||24|9|||||9||||
788||||||||||||
789|24|23||||||||||
790||||||||||||
791||||||||2||||
792||||||||||||
793||20|6|||||||||
794||18|6|||||||||
795|25|16||||||||||
796|25|16||||||||||
797||||||||||||
798||||||||||||
799||25||5||6|6|||||
800||||||||||||
801|||||||||9|||
802||||||||||||
803||||||||||||
804||||||||6||||
805|25|12||||||||||
806||25||||||||||
807|26|12||||||||||
808||||||||||||
809|25|7||||||||||
810||25||5|4|4|4|||||
811||25|1|5|1|1|1|||||
812||||||||||||
813|25|6|||||||6|||
814||25|9|||||2||||
815||25||5|1|1|1|||||
816|25|16||||||||||
817|25|16||||||||||
818|25|12||||||||||
819||||||||||||
820||6|5|5|5|5|5|||||
821|21|12||||||||||
822|20|12||||||||||
823|||||||||2|||
824||||||||||||
825||||||||||||
826||||||||||||
827|25|12||||||||||
828||22||5||6|6|||||
829||0||5|1|1|1|1|0|||
830||||||||||||
831|24|16||||||||||
832|24|16||||||||||
833||||||||||||
834||||||||||||
835||21||5||6|6|||||
836|||||||||6|||
837||||||||6||||
838|25|16||||||||||
839||25|6|||||6||||
840||25||||||||||
841|25|11||||||||||
842||||||||||||
843|18|8||||||||||
844|19|19||||||||||
845||5|1|5|1|1|1|||||
846|25|12||||||||||
847||||||||||||
848|25|18||||||||||
849||||||||||||
850|25|6||||||||||
851||25|6|||||6||||
852|19|12||||||||||
853||21||5||6|6|||||
854||5|3|5|3|3|3|2||||
855||||||||||||
856||||||||||||
857||25||5|4|4|4|||||
858||||||||||||
859|25|12||||||||||
860|21|16||||||||||
861|22|16||||||||||
862||||||||||||
863|25|9|||||||9|||
864||21|1|5|1|1|1|0||||
865|25|22||||||||||
866|23|12||||||||||
867|24|16||||||||||
868||20|8|||||2||||
869|25|16||||||||||
870|25|9|||||||9|||
871||||||||||||
872||25|8|||||2|2|||
873||||||||||||
874||||||||2||||
875|25|1|1|1|0|0||||||
876||||||||||||
877||||||||||||
878||||||||||||
879||25||5||6|6|||||
880||25||5||6|6|||||
881|25|16||||||||||
882|18|12||||||||||
883|25|12||||||||||
884|25|18||||||||||
885||||||||||||
886|21|12||||||||||
887||24|8|||||5||||
888||25|6|||||6||||
889|25|16||||||||||
890|25|16||||||||||
891||25||5|4|4|4|||||
892|25|9|||||||9|||
893|25|16||||||||||
894||25||5|4|4|4|||||
895||||||||||||
896||||||||||||
897||||||||||||
898|25|16||||||||||
899|25|12||||||||||
900||||||||||||
901||||||||||||
902|25|10||||||||||
903||25|8|||||6||||
904|26|12||||||||||
905||25|2|5|2|2|2|2||||
906||10|6|||||2||||
907||||||||||||
908|20|6|||||||6|||
909||24||5||6|6|||||
910||||||||||||
911||20||5||6|6|||||
912||||||||||||
913|19|5||5|5|5||||||
914||||||||||||
915||||||||||||
916||25|0|5|4|4|4|||||
917||||||||||||
918||21||||||||||
919|24|14||||||||||
920|25|1|1|||||||||
921||25|6|||||6||||
922||24||5||6|6|||||
923||||||||||||
924||||||||||||
925||||||||||||
926||17|6|||||1||||
927|25|7||||||||||
928|25|9||||||8|9|||
929||||||||||||
930|25|12||||||||||
931|24|23||||||||||
932||22||5|4|4|4|||||
933||||||||||||
934||||||||||||
935||25|6|||||6||||
936||25|6|||||6||||
937||||||||||||
938|23|6|||||||6|||
939||||||||||||
940||23||5||6|6|||||
941||||||||||||
942|18|6|||||||6|||
943|25|6|||||||6|||
944||||||||||||
945|18|9||||||||||
946||||||||||||
947||||||||||||
948|25|16||||||||||
949||||||||||||
950||||||||||||
951||||||||||||
952|25|6||||||||||
953|25|14||||||||||
954||25|8|||||2||||
955||24|5|5|5|5|5|2||||
956|25|12||||||||||
957|25|12||||||||||
958||||||||||||
959||||||||||||
960||19|16|||||||||
961||||||||||||
962||25|8|||||2||||
963||25||5|1|1|1||||0|
964||25||5|4|4|4|||||
965||||||||||||
966||||||||||||
967||||||||||||
968|19|12||||||||||
969|21|16||||||||||
970||||||||2||||
971|||||||||9|||
972|25|12||||||||||
973||||||||||||
974|21|6||||||||||
975|25|8||||||||||
976||||||||||||
977||21||5|2|2|2|||||
978|21|9|||||||9|||
979|25|9||||||||||
980||23|5|5|5|5|5|3||||
981||22|6|||||2||||
982|26|16||||||||||
983||24|9|||||7||||
984||||||||||||
985||25|6|||||6||||
986||25||||||||||
987|25|12||||||||||
988|25|16||||||||||
989||||||||||||
990||||||||||||
991|25|9||||||||||
992|25|12||||||||||
993|25|12||||||||||
994||25|6|||||6||||
995|25|9||||||||||
996||||||||||||
997|1|1|1|4|4|4||1|2|||
998|25|6|||||||5|||
999||18|7|||||||||
1000||||||||||||
1001||||||||||||
1002|25|22||||||||||
1003||23|-1|5|4|4|4|-1||||
1004||||||||||||
1005||||||||||||
1006|13|9|||||||9|||
1007||||||||||||
1008|25|22||||||||||
1009||||||||||||
1010|25|12||||||||||
1011||25|6|||||6||||
1012||||||||||||
1013|25|14||||||||||
1014||25|9|||||2||||
1015|25|9||||||||||
1016|26|9||||||||||
1017|25|16||||||||||
1018|24|16||||||||||
1019|23|10||||||||||
1020||||||||||||
1021||||||||||||
1022|25|16||||||||||
1023||||||||||||
1024||||||||||||
1025||||||||||||
1026||25||5||6|6|||||
1027|25|12||||||||||
1028||||||||||||
1029|25|17||||||||||
1030|26|8|||||||8|||
1031|24|16||||||||||
1032|26|12||||||||||
1033||25|8|||||2||||
1034||24||5||6|6|||||
1035||||||||||||
1036|25|12||||||||||
1037||||||||||||
1038||||||||||||
1039|25|10||||||||||
1040|24|16||||||||||
1041|25|12||||||||||
1042||||||||||||
1043|24|16||||||||||
1044|15|6|||||||5|||
1045||||||||||||
1046||||||||||||
1047||||||||||||
1048||3||5|4|4|4|||||
1049||||||||||||
1050|25|5||5|5|5||||||
1051||21|8|||||2||||
1052||22||5|4|4|4|-1|||0|
1053||||||||||||
1054||25|6|||||6||||
1055||19||5||6|6|||||
1056||21|8|||||2||||
1057||||||||||||
1058||||||||||||
1059||||||||||||
1060|24|16||||||||||
1061||||||||9||||
1062||||||||||||
1063|25|8||||||||||
1064|25|7||||||||||
1065||25|3|5|3|3|3|3||||
1066||||||||||||
1067|24|9||||||||||
1068|25|16||||||||||
1069||||||||||||
1070|25|10||||||||||
1071||||||||||||
1072|22|16||||||||||
1073||||||||||||
1074||||||||||||
1075|25|10||||||||||
1076|26|16||||||||||
1077|25|7||||||||||
1078||||||||||||
1079|25|6|||||||6|||
1080|21|12||||||||||
1081|20|12||||||||||
1082||||||||||||
1083|||||||||1|||
1084||||||||||||
1085|25|6|||||||6|||
1086||||||||||||
1087|21|12||||||||||
1088|||||||||2|||
1089|20|12||||||||||
1090||25||||||||||
1091|25|12||||||||||
1092|21|12||||||||||
1093||||||||||||
1094|25|6|||||||6|||
1095|23|9||||||||||
1096|24|16||||||||||
1097|25|16||||||||||
1098||||||||||||
1099|21|21||||||||||
1100||||||||||||
1101||25||||||||||
1102|25|16||||||||||
1103||19|9|||||6||||
1104||||||||||||
1105||||||||||||
1106|25|16||||||||||
1107|25|16||||||||||
1108||||||||||||
1109||25|3|5|3|3|3|1|1|||
1110||||||||||||
1111|26|12||||||||||
1112||24||||||||||
1113||||||||2||||
1114||24|6|||||||||
1115||25||2|1|1|1|||||
1116||||||||2||||
1117|25|9||||||||||
1118||25|3|5|3|3|3|||||
1119||||||||||||
1120|25|12||||||||||
1121||||||||||||
1122|23|12||||||||||
1123||||||||||||
1124|25|16||||||||||
1125|25|19||||||||||
1126|25|2|2|2|2|2||||||
1127||||||||||||
1128|25|16||||||||||
1129||||||||||||
1130||||||||||||
1131||||||||2||||
1132||||||||||||
1133||19|6|||||5||||
1134|25|8||||||6|6|||
1135|25|14||||||||||
1136||||||||||||
1137|20|14||||||||||
1138|25|3|3|3|3|3||||||
1139|25|16||||||||||
1140|25|6||||||||||
1141|25|16||||||||||
1142||25|6|||||4||||
1143||||||||||||
1144||||||||||||
1145||21|6|||||6||||
1146|21|10||||||||||
1147|26|16||||||||||
1148||||||||||||
1149|25|12||||||||||
1150|25|12||||||||||
1151|22|8||||||||||
1152||||||||||||
1153||||||||||||
1154||||||||6||||
1155|24|9||||||||||
1156|11|3|3|3|3|3||||||
1157|25|16||||||||||
1158||25||||||||||
1159||25||5|4|4|4|||||
1160||||||||||||
1161||||||||||||
1162||||||||||||
1163|25|23||||||||||
1164|||||||||2|||
1165||||||||||||
1166||||||||||||
1167||||||||||||
1168||||||||||||
1169||||||||4||||
1170|25|16||||||||||
1171||25||||||||||
1172||25|8|||||8||||
1173||25||5||6|6|||||
1174|23|12||||||||||
1175||||||||||||
1176||25||5|4|4|4|||||
1177|19|8|||||||5|||
1178|25|16||||||||||
1179||||||||||||
1180|25|16||||||||||
1181||||||||||||
1182||||||||||||
1183|25|10||||||||||
1184||||||||||||
1185||||||||||||
1186|26|12||||||||||
1187||||||||||||
1188|26|12||||||||||
1189|25|16||||||||||
1190||23|0|5|0|0|0|0||||
1191||||||||||||
1192||||||||||||
1193|25|9|||||||9|||
1194|22|8||||||||||
1195|25|16||||||||||
1196||||||||||||
1197||||||||||||
1198||23|3|5|4|4|4|||||
1199|24|16||||||||||
1200||||||||||||
1201||||||||||||
1202|24|12||||||||||
1203||22||5||6|6|||||
1204||||||||||||
1205||25|6|5|5|5|5|2|0|||
1206|25|10||||||||||
1207||25|6|||||6||||
1208||1||5|4|4|4|2|1|||
1209||||||||||||
1210||||||||||||
1211||22||5||6|6|||||
1212||||||||||||
1213|22|10||||||||||
1214||||||||||||
1215|21|12||||||||||
1216|24|16||||||||||
1217||||||||||||
1218|26|8|||||||8|||
1219||||||||||||
1220||||||||||||
1221|26|16||||||||||
1222|21|12||||||||||
1223||||||||||||
1224|25|16||||||||||
1225|23|12||||||||||
1226||||||||||||
1227||||||||||||
1228|25|9|||||||9|||
1229|25|14||||||||||
1230||18|6|||||1||||
1231||||||||||||
1232|20|12||||||||||
1233||||||||||||
1234||||||||||||
1235||||||||||||
1236||||||||||||
1237|25|14||||||||||
1238|25|16||||||||||
1239|22|11||||||||||
1240|20|6|||||||6|||
1241|25|9||||||||||
1242||21|8|||||0||||
1243||||||||||||
1244||||||||||||
1245|24|16||||||||||
1246||21||5|4|4|4|||||
1247||||||||||||
1248|25|5||5|5|5|||5|||
