ID|VATStatusAge|VATStartAge|VATEndAge|VATCollectionStartAge|VATCollectionEndAge|VATCollectionUpdateAge|VATCollectionPublishAge|VATInactivationAge|VATReactivationAge|VATCancellationAge|VATSplitStartAge|VATSplitCancellationAge
4619||||||||||||
4620||||||||||||
4621||||||||||||
4622||||||||||||
4623||||||||||||
4624||||||||||||
4625||||||||||||
4626||||||||||||
4627||||||||||||
4628||||||||||||
4629||||||||||||
4630||||||||||||
4631||||||||||||
4632||||||||||||
4633||||||||||||
4634||||||||||||
4635||||||||||||
4636||||||||||||
4637||||||||||||
4638||||||||||||
4639||||||||||||
4640||||||||||||
4641||||||||||||
4642||||||||||||
4643||||||||||||
4644||||||||||||
4645||||||||||||
4646||||||||||||
4647||||||||||||
4648||||||||||||
4649||||||||||||
4650||||||||||||
4651||||||||||||
4652||||||||||||
4653||||||||||||
4654||||||||||||
4655||||||||||||
4656||||||||||||
4657||||||||||||
4658||||||||||||
4659||||||||||||
4660||||||||||||
4661||||||||||||
4662||||||||||||
4663||||||||||||
4664||||||||||||
4665||||||||||||
4666||||||||||||
4667||||||||||||
4668||||||||||||
4669||||||||||||
4670||||||||||||
4671||||||||||||
4672||||||||||||
4673||||||||||||
4674||||||||||||
4675||||||||||||
4676||||||||||||
4677||||||||||||
4678||||||||||||
4679||||||||||||
4680||||||||||||
4681||||||||||||
4682||||||||||||
4683||||||||||||
4684||||||||||||
4685||||||||||||
4686||||||||||||
4687||||||||||||
4688||||||||||||
4689||||||||||||
4690|26|12||||||||||
4691|25|25||||||||||
4692||||||||||||
4693||||||||||||
4694||||||||||||
4695|25|9||||||||||
4696|25|15||||||||||
4697||25||5||6|6|||||
4698|25|14||||||||||
4699||||||||||||
4700||2||||||||||
4701|25|15||||||||||
4702||25||5||6|6|||||
4703|23|9||||||||||
4704||25||5|4|4|4|||||
4705||||||||||||
4706||||||||||||
4707|25|8||||||||||
4708|25|23||||||||||
4709||17|6|||||||||
4710||||||||2||||
4711||||||||||||
4712||||||||||||
4713||||||||||||
4714||||||||||||
4715||||||||||||
4716||||||||||||
4717||||||||||||
4718||||||||||||
4719||||||||||||
4720||||||||||||
4721||||||||||||
4722||||||||||||
4723||||||||||||
4724||||||||||||
4725||||||||||||
4726||||||||||||
4727||||||||||||
4728||||||||||||
4729||||||||||||
4730||||||||||||
4731||||||||||||
4732||||||||||||
4733||||||||||||
4734||||||||||||
4735||||||||||||
4736||||||||||||
4737||||||||||||
4738|25|6|||||||6|||
4739||||||||||||
4740||||||||||||
4741|20|12||||||||||
4742||25|6|||||6||||
4743|25|12||||||||||
4744||20||5||6|6|||||
4745||||||||||||
4746||||||||||||
4747|25|16||||||||||
4748||||||||||||
4749||||||||||||
4750||||||||||||
4751||||||||||||
4752|18|6||||||||||
4753||||||||||||
4754|25|6||||||||||
4755|25|5||5|5|5||||||
4756||||||||||||
4757||||||||||||
4758||||||||||||
4759|18|12||||||||||
4760|25|16||||||||||
4761||6||5||6|6|||||
4762||||||||||||
4763|19|12||||||||||
4764||||||||||||
4765||||||||||||
4766||18|6|||||||||
4767||22||5||6|6|||||
4768||||||||||||
4769||||||||||||
4770||||||||||||
4771|25|12||||||||||
4772|25|12||||||||||
4773|25|15||||||||||
4774||||||||||||
4775||25||5||6|6|||||
4776||||||||||||
4777|24|12||||||||||
4778|25|6||||||||||
4779|25|10||||||||||
4780||12|3|5|3|3|3|2||||
4781|25|15||||||||||
4782||4||0||0|0|||||
4783|25|9||||||||||
4784|25|8||||||||||
4785|25|13||||||||||
4786|25|6|||||||6|||
4787||||||||||||
4788||||||||||||
4789|25|7||||||||||
4790||5|3|5|3|4|4|2||||
4791||||||||||||
4792||3|0|3|0|0|0|0||||
4793||||||||||||
4794|21|19||||||||||
4795||||||||||||
4796|25|15||||||||||
4797|24|6||||||||||
4798|21|12||||||||||
4799||||||||||||
4800||||||||||||
4801||||||||||||
4802||||||||||||
4803|25|12||||||||||
4804||||||||||||
4805||25||5||6|6|||||
4806|24|15||||||||||
4807||3|0|5|5|5|5|||||
4808|21|15||||||||||
4809||||||||||||
4810|25|15||||||||||
4811|18|8|||||||2|||
4812|25|10||||||||||
4813||25||5||6|6|||||
4814||25||5|3|4|4|||||
4815||||||||||||
4816|24|15||||||||||
4817|25|15||||||||||
4818||4|3|5|4|4|4|2||||
4819||17|6|||||||||
4820||25||5||6|6|||||
4821||||||||||||
4822||25||5||6|6|||||
4823||12|5|5|5|5|5|2||||
4824||25||5|4|4|4|||||
4825||16||5|4|4|4|||||
4826||19|8|||||2||||
4827||25|6|||||3||||
4828||25||5|4|4|4|||||
4829||25||5||6|6|||||
4830||20|6|||||6||||
4831||25|8|||||2||||
4832|9|6||||||||||
4833||21||5||6|6|||||
4834||||||||||||
4835||25|8|||||2||||
4836||||||||||||
4837|25|9|||||||9|||
4838|23|13||||||||||
4839||||||||||||
4840|24|16|||||||2|||
4841|25|8||||||||||
4842|25|12||||||||||
4843||||||||||||
4844|25|12||||||||||
4845||||||||||||
4846|25|6|||||||6|||
4847|25|12||||||||||
4848||||||||||||
4849||25||||||||||
4850||||||||||||
4851||24|2|5|4|4|4|||||
4852|25|7||||||||||
4853|25|18||||||||||
4854|25|8||||||||||
4855||25||5|4|4|4|||||
4856|25|15||||||||||
4857|24|9||||||||||
4858||||||||2||||
4859||||||||||||
4860|25|12||||||||||
4861||25|8|||||2||||
4862||2||2||2|2|7|2|||
4863||25|4|5|4|4|4|||||
4864|18|16||||||||||
4865|14|9|||||||9|||
4866||||||||||||
4867||||||||||||
4868|25|12||||||||||
4869||||||||||||
4870||25||5||6|6|||||
4871||25|4|5|4|4|4|||||
4872||||||||2||||
4873||4||5|4|4|4||||0|
4874||||||||||||
4875||||||||||||
4876||25|4|5|4|4|4|3||||
4877|25|15||||||||||
4878||||||||||||
4879||||||||||||
4880||22||5||6|6|||||
4881||||||||||||
4882||||||||||||
4883||19||5||6|6|||||
4884|21|8|||||||8|||
4885||4|4|5|4|4|4|||||
4886||18|15|||||||||
4887||||||||||||
4888||||||||||||
4889||||||||||||
4890||||||||||||
4891||||||||||||
4892||||||||||||
4893||||||||||||
4894||||||||||||
4895||||||||||||
4896||||||||||||
4897||||||||||||
4898||||||||||||
4899||||||||||||
4900||||||||||||
4901||||||||||||
4902|21|17||||||||||
4903||||||||||||
4904||||||||||||
4905|18|17||||||||||
4906||||||||||||
4907||||||||||||
4908||||||||||||
4909||||||||||||
4910||||||||||||
4911||||||||||||
4912||||||||||||
4913||||||||||||
4914||||||||||||
4915||||||||||||
4916||||||||||||
4917||||||||||||
4918||||||||||||
4919||||||||||||
4920||||||||||||
4921||||||||||||
4922||||||||||||
4923||||||||||||
4924||||||||||||
4925||||||||||||
4926||||||||||||
4927||||||||||||
4928||||||||||||
4929||||||||||||
4930||||||||||||
4931||||||||||||
4932||||||||||||
4933||||||||||||
4934||||||||||||
4935||||||||||||
4936||||||||||||
4937||||||||||||
4938||||||||||||
4939||||||||||||
4940||||||||||||
4941||||||||||||
4942||||||||||||
4943||||||||||||
4944||||||||||||
4945||||||||||||
4946||||||||||||
4947||||||||||||
4948||||||||||||
4949||||||||||||
4950||||||||||||
4951||||||||||||
4952||||||||||||
4953||||||||||||
4954||||||||||||
4955||||||||||||
4956||||||||||||
4957||||||||||||
4958||||||||||||
4959||||||||||||
4960||||||||||||
4961||||||||||||
4962||||||||||||
4963||||||||||||
4964||||||||||||
4965||||||||||||
4966||||||||||||
4967||||||||||||
4968||||||||||||
4969||||||||||||
4970||||||||||||
4971||||||||||||
4972||||||||||||
4973||||||||||||
4974||||||||||||
4975||||||||||||
4976||||||||||||
4977||||||||||||
4978||||||||||||
4979||||||||||||
4980||||||||||||
4981||||||||||||
4982||21||5||6|6|||||
4983||||||||||||
4984||||||||||||
4985||||||||||||
4986||||||||||||
4987||||||||||||
4988||||||||||||
4989||||||||||||
4990|18|6|||||||6|||
4991||25||||||||||
4992||||||||||||
4993||25||5||6|6|||||
4994|25|14||||||||||
4995||24||5||6|6|||||
4996|21|12||||||||||
4997|25|13||||||||||
4998||25|0|5|0|0|0|0||||
4999||||||||||||
5000||25||5||6|6|||||
5001|21|19||||||||||
5002|25|16||||||||||
5003||||||||||||
5004||||||||||||
5005||||||||||||
5006||||||||||||
5007||||||||||||
5008||||||||||||
5009|25|24||||||||||
5010||||||||||||
5011||||||||||||
5012||||||||||||
5013||||||||||||
5014||||||||||||
5015||||||||||||
5016||||||||||||
5017||||||||||||
5018||||||||||||
5019||||||||||||
5020||||||||||||
5021||||||||||||
5022||||||||||||
5023||||||||||||
5024||||||||||||
5025||||||||||||
5026||||||||||||
5027||||||||||||
5028||||||||||||
5029||||||||||||
5030||||||||||||
5031||||||||||||
5032||||||||||||
5033||||||||||||
5034||||||||||||
5035||||||||||||
5036||||||||||||
5037||||||||||||
5038||||||||||||
5039||||||||||||
5040||||||||||||
5041||||||||||||
5042||||||||||||
5043||||||||||||
5044||||||||||||
5045||||||||||||
5046|23|15||||||||||
5047||24|8|||||2||||
5048||25||||||||||
5049|25|12||||||||||
5050|25|8|||||||2|||
5051|25|12||||||||||
5052|22|12||||||||||
5053||||||||||||
5054|25|12||||||||||
5055||||||||||||
5056||25||5||6|6|||||
5057||||||||||||
5058||||||||||||
5059||25||||||||||
5060|25|6||||||||||
5061||||||||||||
5062||||||||||||
5063|25|0|0|0|0|0|||||0|
5064|23|6||||||||||
5065|25|16||||||||||
5066||||||||||||
5067||||||||||||
5068||25||||||||||
5069||||||||||||
5070||5|4|5|4|4|4|||||
5071||||||||||||
5072||||||||||||
5073||||||||||||
5074||||||||||||
5075||||||||||||
5076||||||||||||
5077|25|23||||||||||
5078||22||5||6|6|||||
5079||||||||||||
5080||||||||||||
5081|25|12||||||||||
5082|25|15||||||||||
5083||||||||||||
5084||||||||||||
5085||||||||2|0|||
5086||24||5|4|4|4|||||
5087||||||||||||
5088||||||||||||
5089||||||||||||
5090|25|12||||||||||
5091|22|11||||||||||
5092|23|8||||||||||
5093||8||5||6|6|||||
5094|25|15||||||||||
5095|25|15||||||||||
5096|25|11||||||||||
5097|13|8||||||||||
5098||11|5|5|5|5|5|5||||
5099||||||||||||
5100||25|8|||||2||||
5101||||||||||||
5102|25|11||||||||||
5103||25||||||||||
5104||16||5||6|6|||||
5105|25|9|||||||9|||
5106|25|12||||||||||
5107|25|12||||||||||
5108||||||||2||||
5109|25|9||||||||||
5110||||||||||||
5111|25|15||||||||||
5112||||||||2||||
5113|25|5||5|5|5||||||
5114|25|8|||||||2|||
5115||||||||||||
5116||||||||||||
5117||||||||||||
5118||||||||||||
5119||25||||||||||
5120||25||5|1|2|2|||||
5121|24|9||||||||||
5122||23||5||6|6|||||
5123||||||||||||
5124||||||||||||
5125|25|11||||||||||
5126|24|9||||||||||
5127|25|12||||||||||
5128|25|11||||||||||
5129|18|16||||||||||
5130|25|6|||||||6|||
5131||23||5||6|6|||||
5132|22|8||||||||||
5133||||||||||||
5134||||||||||||
5135|25|11||||||||||
5136|23|8||||||||||
5137|25|15||||||||||
5138||||||||||||
5139||21|16|||||2||||
5140||12|3|5|3|3|3|2||||
5141|25|15||||||||||
5142|25|6||||||||||
5143||25||5||6|6|||||
5144||||||||||||
5145|25|8||||||||||
5146||25|16|||||||||
5147|25|12||||||||||
5148|25|4||4|4|4||||||
5149|25|9|||||||9|||
5150|||||||||6|||
5151||||||||||||
5152||||||||||||
5153||||||||||||
5154||||||||||||
5155||||||||||||
5156||||||||||||
5157||||||||||||
5158||||||||||||
5159|24|3|3|3|3|3||||||
5160||||||||||||
5161||||||||||||
5162||25||5|4|4|4|||||
5163||25||||||||||
5164||||||||||||
5165||||||||||||
5166|25|12||||||||||
5167|25|20||||||||||
5168|25|12||||||||||
5169||25||5||6|6|||||
5170||25||||||||||
5171||||||||||||
5172||25||||||||||
5173|25|4||4|4|4||||||
5174|25|15||||||||||
5175||24|8|||||2|1|||
5176||||||||||||
5177|21|15||||||||||
5178||||||||||||
5179||22|8|||||2||||
5180||||||||||||
5181||||||||||||
5182||||||||||||
5183||25|6|||||||||
5184||25||||||||||
5185|25|12||||||||||
5186||25||||||||||
5187||18|15|||||||||
5188||||||||||||
5189|25|6||||||||||
5190|25|9|||||||9|||
5191||25||5||6|6|||||
5192||||||||||||
5193||||||||||||
5194||||||||||||
5195|19|14|||||||2|||
5196||||||||||||
5197|17|2|2|2|2|2||||||
5198||||||||||||
5199||17|16|||||||||
5200|21|15||||||||||
5201||||||||||||
5202||||||||||||
5203||||||||||||
5204||||||||||||
5205|18|12||||||||||
5206|18|9||||||||||
5207|25|8|||||||2|||
5208||||||||||||
5209|25|9||||||||||
5210||25||||||||||
5211||||||||||||
5212||||||||||||
5213||||||||||||
5214||||||||||||
5215|18|12||||||||||
5216||20|2|5|2|2|2|||||
5217|24|5||5|5|5||||||
5218||||||||||||
5219||24|1|5|4|4|4|||||
5220||||||||||||
5221||||||||||||
5222|25|15||||||||||
5223||||||||||||
5224|25|7||||||||||
5225|25|2|2|4|4|4||||||
5226||25|8|||||2||||
5227|||||||||9|||
5228||25||5|0|0|0|||||
5229||25||5|4|4|4|||||
5230||||||||||||
5231|25|16||||||||||
5232|25|12||||||||||
5233||25||||||||||
5234|16|8||||||||||
5235||||||||||||
5236|25|15||||||||||
5237||24||5||6|6|||||
5238||25||5||6|6|||||
5239|25|15||||||||||
5240|||||||||6|||
5241||||||||||||
5242||23||5||6|6|||||
5243||||||||||||
5244|20|2|2|||||||||
5245||||||||||||
5246||||||||||||
5247||||||||||||
5248|25|8||||||||||
5249||25|9|||||9||||
5250||25|0|5|3|4|4|-1|||0|
5251||25||5||6|6|||||
5252|22|8||||||||||
5253|25|9|||||||9|||
5254||11||5|4|4|4|||||
5255||25||||||||||
5256|15|9||||||||||
5257||||||||||||
5258|19|9||||||||||
5259||||||||||||
5260||||||||||||
5261||||||||||||
5262|25|15||||||||||
5263||||||||||||
5264|25|15||||||||||
5265|25|15||||||||||
5266||||||||||||
5267||25||5||6|6|||||
5268||||||||||||
5269||||||||||||
5270|||||||||4|||
5271||2||||||||||
5272|25|10||||||||||
5273||24|6|||||0||||
5274|21|12||||||||||
5275|25|13||||||||||
5276||25|16|||||2||||
5277|24|12||||||||||
5278||||||||||||
5279||25||||||||||
5280||||||||||||
5281||25||5||6|6|||||
5282|22|15||||||||||
5283||||||||||||
5284||||||||||||
5285|21|14||||||||||
5286||||||||||||
5287|25|15||||||||||
5288|25|13||||||||||
5289|22|9||||||||||
5290|||||||||9|||
5291||||||||||||
5292||||||||||||
5293|24|15||||||||||
5294||||||||||||
5295||||||||||||
5296||20||5|4|4|4|||||
5297|25|7||||||||||
5298||||||||||||
5299||||||||||||
5300|19|12||||||||||
5301||||||||||||
5302|25|4||4|4|4||||||
5303|25|5||5|5|5||||||
5304||25|8|||||2||||
5305||||||||||||
5306|24|8||||||||||
5307||25||||||||||
5308|22|8||||||||||
5309||25||5||6|6|||||
5310||||||||||||
5311||||||||||||
5312||||||||||||
5313|25|15||||||||||
5314||||||||||||
5315|22|12||||||||||
5316||10|5|5|5|5|5|||||
5317||22||5||6|6|||||
5318||||||||||||
5319||||||||||||
5320||||||||||||
5321|25|12||||||||||
5322|24|15||||||||||
5323||||||||9||||
5324||||||||||||
5325||||||||||||
5326||||||||||||
5327||20|5|5|5|5|5|1||||
5328|20||||6|6||||||
5329||||||||2||||
5330||4||4||4|4|||||
5331|25|12||||||||||
5332|25|15||||||||||
5333||6|5|5|5|5|5|||||
5334||||||||||||
5335||||||||||||
5336|19|5||5|5|5||||||
5337||||||||||||
5338|20|8||||||||||
5339|21|12||||||||||
5340||||||||||||
5341|25|15||||||||||
5342||||||||||||
5343||||||||||||
5344||||||||||||
5345||||||||||||
5346||||||||||||
5347||||||||||||
5348||||||||||||
5349||||||||||||
5350||||||||||||
5351||||||||||||
5352||||||||||||
5353|18|18||||||||||
5354||||||||||||
5355||||||||||||
5356||||||||||||
5357||||||||||||
5358||||||||||||
5359||||||||||||
5360||||||||||||
5361||||||||||||
5362||||||||||||
5363|18|17||||||||||
5364||||||||||||
5365|17|0|0|0|0|0||||||
5366||||||||||||
5367||||||||||||
5368||||||||||||
5369||||||||||||
5370||||||||||||
5371||||||||||||
5372||||||||||||
5373||||||||||||
5374||||||||||||
5375||||||||||||
5376||||||||||||
5377||||||||||||
5378||||||||||||
5379|25|6|||||||6|||
5380|25|12||||||||||
5381||||||||||||
5382||||||||||||
5383||10|3|5|3|3|3|2||||
5384||||||||||||
5385||||||||||||
5386|25|15||||||||||
5387||11||5|4|4|4|||||
5388||||||||||||
5389|25|11||||||||||
5390||||||||||||
5391||25|7|||||||||
5392|25|12||||||||||
5393||25||5|4|4|4|||||
5394||25|1|5|4|4|4|||||
5395||1||5|1|1|1|||||
5396||24|1|5|1|1|1|||||
5397||25|8|||||2||||
5398|25|15||||||||||
5399||||||||||||
5400||5||5||5|5|||||
5401|25|8||||||||||
5402||||||||||||
5403|24|12||||||||||
5404||||||||||||
5405|22|12||||||||||
5406|25|14||||||||||
5407|25|15||||||||||
5408|25|12||||||||||
5409||||||||||||
5410||25|7|||||7||||
5411||||||||||||
5412|25|7||||||||||
5413||||||||||||
5414|25|12||||||||||
5415|25|3|3|4|4|4|||1|||
5416||25|8|||||0||||
5417|25|8||||||||||
5418||||||||||||
5419||||||||||||
5420||||||||||||
5421||25|0|5|0|0|0|0||||
5422||||||||||||
5423|||||||||2|||
5424||||||||5||||
5425||||||||2||||
5426|21|8||||||||||
5427|25|21||||||||||
5428|25|12||||||||||
5429||||||||||||
5430||||||||||||
5431||||||||||||
5432||21|2|5|2|2|2|||||
5433||||||||||||
5434||||||||||||
5435|25|9||||||||||
5436|25|12||||||||||
5437||||||||||||
5438||||||||||||
5439||||||||||||
5440||||||||||||
5441||||||||||||
5442||||||||||||
5443||||||||||||
5444||||||||||||
5445||||||||||||
5446||||||||||||
5447||||||||||||
5448||||||||||||
5449||||||||||||
5450||||||||||||
5451||||||||||||
5452||||||||||||
5453||25||5||6|6|||||
5454||25||5||6|6|||||
5455|25|0|0||||||||0|
5456||25||5||6|6|||||
5457||25||||||||||
5458|23|12||||||||||
5459||||||||||||
5460|25|9||||||||||
5461||||||||||||
5462||||||||||||
5463||||||||||||
5464||||||||||||
5465|25|15||||||||||
5466||25|16|||||||||
5467||||||||||||
5468||||||||||||
5469||5|3|5|3|3|3|2||||
5470|25|8|||||||2|||
5471||25|1|5|1|1|1|||||
5472|25|6||||||||||
5473|14|8||||||||||
5474|25|12||||||||||
5475||22||||||||||
5476|25|15||||||||||
5477||||||||||||
5478||||||||2||||
5479||||||||||||
5480|25|15||||||||||
5481||||||||||||
5482||25||5|4|4|4|||||
5483||21||5||6|6||||0|
5484|22|8||||||||||
5485|25|6||||||||||
5486||||||||||||
5487||||||||||||
5488||||||||||||
5489||||||||||||
5490||25||5|4|4|4|||||
5491|20|9||||||||||
5492|28|10||||||||||
5493||||||||||||
5494||||||||||||
5495|25|12||||||||||
5496|24|12||||||||||
5497|25|15||||||||||
5498||25|8|||||2||||
5499||||||||||||
5500||25||5||6|6|||||
5501|20|15||||||||||
5502||21|6|||||0||||
5503||||||||||||
5504|24|15||||||||||
5505||25||||||||||
5506||20|2|5|2|2|2|||||
5507||20||5|4|4|4|||||
5508||||||||||||
5509||24||||||||||
5510||25||5||6|6|||||
5511||||||||||||
5512|23|15||||||||||
5513||25||||||||||
5514||24|-1|5|-1|-1|-1|||||
5515||25||5||6|6|||||
5516||||||||||||
5517||||||||||||
5518|19|12||||||||||
5519||25||5||6|6||||0|
5520||25||5||6|6|||||
5521|25|6||||||||||
5522|25|6||||||||||
5523||||||||||||
5524|25|7||||||||||
5525||||||||||||
5526|25|8||||||||||
5527||25|8|||||2||||
5528||25|2|5|4|4|4|2||||
5529||25||||||||||
5530|21|8||||||||||
5531||||||||||||
5532|25|8||||||||||
5533||25|2|5|2|2|2|||||
5534||12|2|5|2|2|2|||||
5535||25|2|5|4|4|4|||||
5536||||||||||||
5537|23|9|||||||9|||
5538||||||||||||
5539||||||||||||
5540|25|13||||||||||
5541|25|12||||||||||
5542||||||||||||
5543||25||5|3|3|3|||||
5544|25|9||||||||||
5545|25|15||||||||||
5546||25||5|4|4|4|||||
5547||25|2|5|2|2|2|2||||
5548||||||||||||
5549|25|15||||||||||
5550|25|15||||||||||
5551|21|15||||||||||
5552||||||||||||
5553||17|16|||||||||
5554||||||||||||
5555||||||||||||
5556||25|16|||||3||||
5557||||||||||||
5558|25|12||||||||||
5559||||||||||||
5560||||||||||||
5561|25|15||||||||||
5562|23|15||||||||||
5563||25||5|4|4|4|||||
5564|14|6||||||||||
5565||||||||||||
5566||25|4|5|4|4|4|||||
5567|||||||||6|||
5568||||||||||||
5569|17|12||||||||||
5570||||||||||||
5571||||||||||||
5572||||||||||||
5573|22|8|||||||6|||
5574|25|0|0|0|0|0||||||
5575||||||||||||
5576|25|15||||||||||
5577||||||||||||
5578||17|3|5|3|3|3|||||
5579||||||||||||
5580||||||||||||
5581|24|7||||||||||
5582||||||||||||
5583||||||||||||
5584||||||||||||
5585||22||5|4|4|4|||||
5586||||||||||||
5587||5||5|4|4|4|||||
5588||||||||||||
5589||25|5|5|5|5|5|||||
5590|25|23||||||||||
5591||||||||||||
5592||21|-1|5|-1|-1|-1|||||
5593||11||5|4|4|4|||||
5594|25|16||||||||||
5595||||||||||||
5596||||||||||||
5597||||||||||||
5598||||||||||||
5599||||||||||||
5600|24|12||||||||||
5601||||||||||||
5602|18|8||||||||||
5603||25||5||6|6|||||
5604||||||||||||
5605||25|8|||||2||||
5606||8||5||6|6|||||
5607||||||||||||
5608|6|2|2|2|2|2|||2|||
5609||||||||||||
5610||||||||||||
5611|21|2|2|2|2|2||||||
5612||||||||||||
5613|25|12||||||||||
5614||1||1||1|1|||||
5615|25|10||||||||||
5616||25||5|4|4|4|||||
5617|25|6||||||||||
5618||21|18|||||||||
5619||||||||||||
5620||||||||||||
5621||||||||||||
5622||19|7|||||7||||
5623|24|7||||||||||
5624||4|3|4|3|3|3|3||||
5625||||||||||||
5626||23||0||0|0|||||
5627||||||||||||
5628||||||||||||
5629||||||||||||
5630||25|9|||||9||||
5631||||||||||||
5632|25|8|||||||6|||
5633||||||||||||
5634|6|5||5|5|5||||||
5635||||||||||||
5636||25|4|5|4|4|4|2||||
5637|25|12||||||||||
5638||||||||||||
5639|25|9||||||||||
5640||20||5||6|6|||||
5641||||||||||||
5642|25|17||||||||||
5643|25|12||||||||||
5644|25|4|4|4|4|4||||||
5645||25|16|||||||||
5646||||||||7||||
5647||25|4|5|4|4|4|||||
5648|25|0|0|0|0|0||||||
5649||25||5|4|4|4|||||
5650|24|12||||||||||
5651||25|16|||||2||||
5652||25||5||6|6|||||
5653|25|4||4|4|4||||||
5654|24|8||||||||||
5655|25|8||||||||||
5656|21|12||||||||||
5657|25|12||||||||||
5658||25||5||6|6|||||
5659||18|8|||||2||||
5660||25||5|4|4|4|||||
5661|25|9||||||||||
5662||22||5||6|6|||||
5663||25||5|4|4|4|||||
5664|25|15||||||||||
5665||||||||||||
5666||25|7|||||4||||
5667||||||||||||
5668|6|4||4|4|4||||||
5669|25|3|3|4|4|4||||||
5670||||||||7|8|||
5671||||||||||||
5672|7|5||5|5|5||||||
5673||||||||||||
5674||||||||||||
5675|25|12||||||||||
5676|25|16||||||||||
5677|||||||||2|||
5678||||||||||||
5679||||||||||||
5680||25||5||6|6|||||
5681||||||||||||
5682||||||||||||
5683||25|5|5|5|5|5|||||
5684||||||||||||
5685||25||||||||||
5686|25|8|||||||2|||
5687||||||||||||
5688|21|12||||||||||
5689||||||||||||
5690|25|7||||||||||
5691||||||||||||
5692||||||||||||
5693|8|6|||||||6|||
5694|25|12||||||||||
5695|6|6||||||||||
5696||||||||||||
5697|25|9|||||||9|||
5698||18||||||||||
5699||25||5||6|6|||||
5700|25|4||4|4|4||||||
5701|25|15||||||||||
5702|25|15||||||||||
5703||25|8|||||2||||
5704||25|8|||||2||||
5705|25|15||||||||||
5706|25|7|||||||7|||
5707||25|8|||||2||||
5708||25||5|1|1|1|||||
5709|25|10||||||||||
5710||||||||||||
5711|9|5||5|5|5||||||
5712|25|6|||||||6|||
5713|25|12||||||||||
5714|23|6||||||||||
5715|25|15||||||||||
5716||||||||||||
5717||||||||||||
5718||25||5|4|4|4|||||
5719|25|10||||||||||
5720||6|5|||||||||
5721|20|6||||||||||
5722|20|15||||||||||
5723|25|9|||||||9|||
5724||||||||||||
5725|25|15||||||||||
5726|24|8||||||||||
5727|25|14||||||||||
5728|25|12||||||||||
5729||||||||||||
5730|24|12||||||||||
5731|24|9||||||||||
5732|25|12||||||||||
5733||24|5|5|5|5|5|2||||
5734|25|15||||||||||
5735|25|8||||||||||
5736|21|15||||||||||
5737||17|8|||||6||||
5738||||||||||||
5739|25|15||||||||||
5740|25|7||||||||||
5741||25|3|5|3|3|3|||||
5742||||||||||||
5743||||||||||||
5744|25|8||||||||||
5745||||||||||||
5746|25|14||||||||||
5747|25|11||||||||||
5748|25|15||||||||||
5749|17|11||||||||||
5750||||||||||||
5751||||||||||||
5752||25|3|5|3|3|3|||||
5753||25|2|5|2|2|2|||||
5754|25|12||||||||||
5755||25|8|||||8||||
5756|25|15||||||||||
5757||||||||||||
5758||25||5||6|6|||||
5759|25|7||||||||||
5760|25|6|||||||6|||
5761||||||||||||
5762||||||||||||
5763|13|5||5|5|5|||2|||
5764||25|8|||||7||||
5765|25|9||||||||||
5766||||||||||||
5767|24|15||||||||||
5768||20||5|4|4|4|||||
5769||||||||||||
5770||25|7|||||||||
5771|24|8||||||||||
5772||25|-1|5|-1|-1|-1|||||
5773||25||5||6|6|||||
5774|23|12||||||||||
5775|25|15||||||||||
5776||19|7|||||7||||
5777||||||||||||
5778|25|7||||||||||
5779||||||||||||
5780||||||||||||
5781||21|4|5|4|4|4|||||
5782||25|16|||||||||
5783|20|12||||||||||
5784||||||||||||
5785|25|12||||||||||
5786|21|4||4|4|4||||||
5787|21|12||||||||||
5788||25||5|4|4|4|||||
5789|17|6||||||||||
5790||||||||||||
5791||||||||||||
5792||||||||||||
5793||24|2|5|2|2|2|||||
5794|24|24||||||||||
5795||||||||||||
5796||6|5|||||5||||
5797||||||||||||
5798|25|15||||||||||
5799|25|15||||||||||
5800||||||||||||
5801||||||||||||
5802||||||||2||||
5803||24||5||6|6|||||
5804||||||||||||
5805|25|20||||||||||
5806|23|8|||||||2|||
5807|19|12||||||||||
5808||25||5||6|6|||||
5809|25|12||||||||||
5810|25|6|||||||6|||
5811||||||||||||
5812||25|||||||||0|
5813||25|8|||||2||||
5814||||||||||||
5815||||||||||||
5816|24|12||||||||||
5817||6|5|||||||||
5818||||||||||||
5819||||||||||||
5820||17||5||6|6|||||
5821||||||||||||
5822|25|10||||||||||
5823||||||||||||
5824||22|16|||||||||
5825||25|7|||||||||
5826||25|8|||||2||||
5827||25|8|||||7||||
5828||25||5||6|6|||||
5829|17|12||||||||||
5830|23|15||||||||||
5831|24|9|||||||9|||
5832||||||||||||
5833||||||||||||
5834|25|16||||||||||
5835|25|16|||||||2|||
5836||||||||||||
5837|25|13||||||||||
5838||||||||||||
5839|25|15||||||||||
5840||17||5||6|6|||||
5841|25|15||||||||||
5842|24|17||||||||||
5843|17|5||5|5|5|||5|||
5844||25|7|||||||||
5845|25|6||||||||||
5846||||||||||||
5847||||||||||||
5848||5|5|5|5|5|5|||||
5849||25||5|4|4|4|||||
5850|25|15||||||||||
5851|24|15||||||||||
5852||25||5||6|6|||||
5853||||||||||||
5854||||||||||||
5855||||||||||||
5856||||||||||||
5857||25|9|||||9||||
5858||18||5||6|6|||||
5859||||||||||||
5860|24|12||||||||||
5861||25|9|||||9||||
5862|25|15||||||||||
