ID|TotalSales|TotalNetSales|TotalOtherIncome|OwnWorkCapitalised|ChangeInventoryProd|OtherOperatingIncome|iOOIProvisionRelease|iOOISubsidies|iOOISubsidiesExtraord|iOOIExtraordinary|TotalRevenues|Cogs|iCogsRawMaterials|iCogsMerchandise|iCogsSubdeliveries|PersonnelExpenses|SGAOtherOpExpenses|iSGABadDebtProv|iSGAExtraordinary|DepreciationAndAmortization|Ebit|Ebitda|EbitdaMargin|TradingMargin|ProductionMargin|InterestIncome|InterestExpense|NetInterestResult|FXGains|FXLosses|NetFXResult|GroupInvestResult|iSubsidiarySales|NetFinancialResult|ExtraordinaryIncome|iExtraordFixedAssetsReval|iExtraordProvRelease|ExtraordinaryExpenses|iExtraordFAWriteDowns|iExtraordProvTransfer|NetExtraordinaryResult|IncomeTaxes|NetProfitLoss|CashBankDeposits|STSecurities|OtherSTFinAssets|CashAndCashEquivalents|TradeReceivables|IntragroupReceivables|ReceivablesTaxAuthority|OtherReceivables|iOtherReceivablesOwners|TotalReceivables|RawMaterials|Merchandise|TotalInventory|PrepaidExpenses|TotalCurrentAssets|LandBuildings|PlantMachinery|FurnitureEquipment|AdvancesTangibleAssets|TangibleAssetsInProgress|TangibleFixedAssets|RightsPatents|OtherCapitalizedExpenses|IntangibleFixedAssets|OtherLTFinancialAssets|TotalFixedAssets|TotalAssets|STBankLoans|OtherSTLoansNonBank|SubtotalSTInterestBearingDebt|STAccountsPayables|STIntragroupPayables|STProvisions|AccruedExpenses|PayablesTaxAuthority|DividendsPayable|OtherSTLiabilities|TotalSTLiabilities|LTBankLoans|SHLoansGranted|CapitalizedLeaseObligations|SubtotalLTInterestBearingDebt|OtherLTLiabilities|TotalLTLiabilities|TotalLiabilities|SeniorDebt|ShareCapital|SharePremium|RevaluationReserve|OtherReserves|AccumulatedRetainedEarnings|TreasuryStock|OtherEquity|Equity|EquityRatio|BalFigCheck|NoEmployeesEop|NoEmployeesAvg|ProductivityPerEmployee|AvgEmployeeCost|CollectionPeriod|InventoryPeriod|PayablesPeriod|CurrentRatio|QuickRatio|LiquidAssetsRatio|OperatingCycle|FinancingGap|WorkingCapitalNeed|NetSeniorDebtByEbitda|InterestCover|EBITDAInterestCoverage|EstimatedInterestRate|AssetTurnover|FixedAssetTurnover|CurrentAssetTurnover|Gearing|Leverage|STFinancingRatio|WkLoansRatio|ReturnOnAssets|ReturnOnFixedAssets|ReturnOnCurrentAssets|ReturnOnEquity|CFSustTotalSales|CFSustEBITDA|CFMaintCapex|CFInterestExpense|CFIncomeTax|CFMandatoryDividends|CFFreeCashFlow|CFMultiplier|CFCashFlowValuation|CFMaxLeverageST|CFMaxLeverageLT|CFSeniorDebt|CFWkExcessDeficit|CFHeadroomAvailable|CFHeadroomST|CFHeadroomLT|CFSeniorDebtByFCF|CFHeadroomByFCF|EstimatedFreeAssets|TotalOverdueDebts|TotalOverduePayables|OverduePayables1M|OverduePayables3M|OverduePayables12M|OverdueTaxDebts|OverdueDebtsOther|iTotalOverdueReceivables|TotalOverdueReceivables|OverdueReceivablesBacklog|iOverdueReceivablesBudget|OverdueTaxReceivables|LTReceivables|UnsaleableInventory|ShareOverdueDebts|ShareOverduePayables|ShareOverdueReceivables|ShareUnsaleableInventory
234|79716117|79716117|335831|0|130366|205465|51430|0|0|0|80051948|31091866|22835566|1271535|6984765|28869723|5880842|0|0|8803454|5406063|14209517|0.18|2.14|3|14014|0|14014|32078|0|32078|0|0|46092|809421|0|809421|784345|0|784345|25076|528391|4948840|23187835|0|1942|23189777|449173|0|1552198|-481971|0|1519400|813618|57818|871436|166931|25747544|91166248|12205753|1502846|47468|2257065|107179380|440208|0|440208|0|107619588|133367132|0|0|0|3541606|0|784345|72083|1560909|0|1859075|7818018|0|0|335594|335594|1422526|1758120|9576138|335594|10629733|0|79888573|28167639|5105049|0|0|123790994|1|0|763|727|109651|39711|2|10|42|3.29|3.18|0.17|12|-29|17929526|-1.61|0|0|0|1|1|3|0|0|0|0|0|0|0|0|79716118|14209518|2641036|1|864970|0|10703511|4|42814043|-5427182|48241225|335595|-17929526|60407974|-5427182|65835156|-2|6|51379232|0|0|0|0|0|0|0|0|0|0|0|603351|0|0|0|0|0|0
235|79558659|79558659|34207358|9700040|17166173|7341145|0|1307171|3451975|0|113766017|79539732|69146772|-72668|10465628|18212678|3862265|0|0|8285560|3865782|12151342|0.11|-|1|84274|98477|-14203|48531|186097|-137566|0|0|-151769|284301|0|284301|766569|0|766569|-482268|694042|2537703|295856|0|-1933|293923|8708801|0|617888|504094|0|9830783|54421152|3706507|58127659|147165|68399530|20918800|71466036|340433|0|10454059|103179328|54319|0|54319|14983|103248630|171648160|6278954|0|6278954|9517023|0|0|0|1599645|0|889356|18284978|2026338|0|9899985|11926323|37106415|49032738|67317716|18205277|12850013|0|3162025|79892344|8426062|0|0|104330444|1|0|433|432|184164|42159|40|267|44|3.74|0.56|0.00|307|263|50114552|1.47|39|123|0|0|1|1|0|0|0|0|0|0|0|0|79558660|12151343|2485668|98478|602769|0|8964428|4|35857713|23867598|11990115|18205278|-38035713|55688148|23867598|31820550|-2|6|56767978|0|0|0|0|0|0|0|462447|0|462447|0|0|14983|18357793|0|0|0|0
236|79228495|79228495|1667574|0|1586800|80774|0|0|0|0|80896069|61047059|45286917|1128755|14631387|15378575|451017|0|0|99850|3919568|4019418|0.05|1.52|1|3109|188863|-185754|801882|1083294|-281412|0|0|-467166|0|0|0|0|0|0|0|573077|2879325|579799|0|0|579799|8061618|0|1467405|144720|0|9673743|12724330|3951005|16675335|105195|27034072|0|118122|20137|0|0|138259|59054|0|59054|1400|198713|27232785|14445335|0|14445335|5942573|0|0|0|968522|0|831410|22187840|0|0|0|0|0|0|22187840|14445335|924800|0|0|184960|3935185|0|0|5044945|0|0|378|374|211841|41119|37|100|36|1.22|0.47|0.02|137|101|4846232|3.45|22|21|0|3|399|3|3|1|3|0|0|14|0|1|79228496|4019419|29955|188864|596913|0|3203687|4|12814749|18606573|-5791824|14445336|-19291567|17660980|17660980|0|-2|6|2273179|3121270|3121270|3083932|12171|25167|0|0|0|0|0|0|0|1400|0|0|1|0|0
237|78942619|78942619|2944112|0|2934458|9654|0|0|0|0|81886731|60225621|50946010|0|9279611|11618122|447273|0|0|3545118|6050597|9595715|0.12|-|1|74|282112|-282038|448976|968362|-519386|0|0|-801424|0|0|0|0|0|0|0|824476|4424697|2096136|101191|0|2197327|1628600|606917|603471|1190838|0|4029826|7348816|1434036|8782852|791332|15801337|1389408|12583840|113859|534334|7870370|22491811|44950|0|44950|0|22536761|38338098|5700708|0|5700708|12071712|1608668|0|0|611625|0|1715753|21708466|745551|0|0|745551|3927526|4673077|26381543|6446259|18000|0|0|7513858|4424697|0|0|11956555|0|0|290|285|276992|40765|10|53|83|0.73|0.32|0.06|64|-19|-5907129|0.44|22|34|0|2|4|5|1|0|-1|0|0|0|0|0|78942620|9595716|1063535|282113|922958|0|7327110|4|29308440|-3195080|32503520|6446260|206421|22655759|-3195080|25850839|1|3|3012769|2964718|2964718|1720018|1244700|0|0|0|0|0|0|0|0|0|0|0|0|0|0
238|78851378|77934146|522825|67817|0|455008|0|0|0|0|78456971|67976911|1807035|65166034|1003842|6832280|822915|101692|0|631654|2193211|2824865|0.04|1.19|0|8|273909|-273901|1321|1727|-406|0|0|-274307|0|0|0|0|0|0|0|374177|1544727|359533|0|217436|576969|6520126|0|0|68469|0|6588595|34802|6256127|6290929|652865|14109358|9348120|1799080|249084|0|15417|11411701|134803|0|134803|14639|11561143|25670501|5690712|1500000|7190712|7659231|0|2237|0|491761|0|215211|15559152|1583998|0|101052|1685050|0|1685050|17244202|8875762|500000|0|4404989|424900|3096410|0|0|8426299|0|0|135|135|584084|50609|30|34|41|0.91|0.50|0.02|64|23|-1449794|2.94|9|10|0|3|7|6|1|0|-4|0|0|0|0|0|78851379|2824866|189496|273910|307088|0|2054371|4|8217486|4511084|3706402|8875763|-4240918|3582641|3582641|0|2|2|4653575|0|0|0|0|0|0|0|910238|0|0|0|0|14639|0|0|0|0|0
239|78758515|77419419|0|0|0|0|0|0|0|0|77419419|75036224|26824|72010621|2998779|423755|855245|0|0|16600|1087595|1104195|0.01|1.03|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|273229|814366|113649|0|9895|123544|12354523|0|343896|94|0|12698513|0|2587560|2587560|0|15409617|12710|34091|0|0|0|46801|0|0|0|0|46801|15456418|0|891877|891877|5540016|0|0|0|24646|0|17189|6473728|0|0|0|0|0|0|6473728|891877|1000|0|0|1257|8980433|0|0|8982690|1|0|20|22|3579933|19262|57|13|27|2.38|1.98|0.01|70|43|8935889|0.70|0|0|0|5|1683|5|0|0|0|0|0|17|0|0|78758516|1104196|4980|1|174015|0|925200|4|3700799|9704222|-6003423|891878|-8935889|11744810|9704222|2040588|-9|13|4724434|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
240|78615387|78615387|1979251|0|0|1979251|0|0|0|0|80594638|37734896|1890271|-506082|36350707|33853861|2476808|0|0|3084751|3444322|6529073|0.08|-|2|553|24693|-24140|17294|40414|-23120|0|0|-47260|2795418|0|2795418|3943897|0|3943897|-1148479|1481852|766731|543863|0|-80208|463655|4016|12909204|11993322|0|0|24906542|0|0|0|784492|26154689|172609|13518474|213518|0|1404290|15308891|0|0|0|0|15308891|41463580|2322587|0|2322587|7677185|0|1120147|0|1744101|0|5051773|17915793|0|28040|0|28040|284375|312415|18228208|2350627|3000000|0|0|600000|19635372|0|0|23235372|1|0|145|178|441659|190190|60|0|74|1.46|1.46|0.01|60|-14|8238896|0.29|140|264|0|2|5|3|0|0|0|0|0|0|0|0|78615388|6529074|925425|24694|547141|0|5031814|4|20127256|9313336|10813920|2350628|-10561483|28338111|9313336|19024775|-2|6|1954423|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
241|78483954|78483954|106252|0|105814|438|0|0|0|0|78590206|62358433|60512445|-9935|1855923|6443688|278641|0|0|1262835|8246609|9509444|0.12|(0.22)|1|0|73184|-73184|23200|8812|14388|0|0|-58796|0|0|0|0|0|0|0|1356062|6831751|3501083|0|12617|3513700|4927493|0|645432|100|0|5573025|2894060|66982|2961042|0|12047767|7133172|5933858|18842|0|4354382|17440254|2368|0|2368|1069|17443691|29491458|1773556|0|1773556|917321|0|0|0|733685|0|-105144|3319418|6135462|0|257384|6392846|0|6392846|9712264|8166402|10000|0|0|2000|19767194|0|0|19779194|1|0|191|177|443412|36405|23|17|5|3.63|2.74|0.12|40|35|8728349|0.49|114|130|0|3|4|7|0|0|0|0|0|0|1|0|78483955|9509445|378851|73185|1307748|0|7749662|4|30998646|6988205|24010441|8166403|-10501905|33334148|6988205|26345943|0|4|5946526|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
242|78447524|78447524|700425|0|0|700425|0|0|0|0|79147949|26914417|1397296|0|25517121|45485167|950494|0|0|1836589|3961282|5797871|0.07|-|3|6111|96666|-90555|626343|1152931|-526588|0|0|-617143|1243790|0|1243790|1022580|0|1022580|221210|518693|3046656|417307|0|0|417307|26426342|0|1639822|3025|0|28069189|0|133904|133904|555919|29176319|1786088|1033357|3908308|0|0|6727753|32745|0|32745|0|6760498|35936817|0|5601513|5601513|13578179|0|926871|0|1577802|0|-3457113|18227252|0|5601513|0|5601513|0|5601513|23828765|11203026|644760|0|0|128952|11334340|0|0|12108052|0|0|723|644|121813|70629|123|2|184|1.60|1.59|0.01|125|-59|10949067|1.86|42|60|0|2|12|3|1|0|0|0|0|0|0|0|78447525|5797872|550977|96667|618339|0|4531890|4|18127559|15577354|2550205|11203027|-10949067|17873599|15577354|2296245|0|4|9871283|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
243|78394220|75056544|22507318|0|22156639|350679|0|7200|343479|0|97563862|79925851|53651780|20350774|5923297|11851953|1110459|289678|0|3031882|1643717|4675599|0.05|1.18|1|368|339763|-339395|115289|231786|-116497|0|0|-455892|49242|0|49242|0|0|0|49242|218273|1018794|2784324|0|116912|2901236|4356669|0|0|2696364|0|7053033|3409598|2261064|5670662|1648399|17273330|5088461|6143902|436868|22463|4159|11695853|291963|0|291963|0|11987816|29261146|4217304|0|4217304|6597757|0|0|0|1819495|0|2050273|14684829|1362541|0|1138479|2501020|1298178|3799198|18484027|6718324|3818075|0|3638528|2121760|1198715|0|41|10777119|0|0|315|310|252885|38232|20|26|30|1.18|0.79|0.10|46|16|2588501|0.82|6|14|0|3|7|5|1|0|2|0|0|0|0|0|78394221|4675600|909565|339764|208633|0|3217639|4|12870555|2256170|10614385|6718325|-6805805|12958035|2256170|10701865|0|4|4336222|0|0|0|0|0|0|0|488025|0|488025|0|0|0|0|0|0|0|0
